"","g","N","M","walltime","predicted"
"dolphin","dolphin",62,159,0.004,0.00134528499672897
"proximity","proximity",410,2765,0.046,0.0876065968468084
"celegans","celegans",453,2025,0.045,0.0870816290252175
"euroroad","euroroad",1039,1305,0.15,0.237896432780459
"email","email",1133,5451,0.32,0.544383835304099
"gkk","gkk",949,2496,0.195,0.286117947711036
"ba","ba",1000,1996,0.184,0.27694439970493
"hk","hk",1000,1996,0.158,0.27694439970493
"lfr","lfr",998,1988,0.184,0.275587710100545
"er","er",1000,25132,0.548,0.958131634162856
"drosophila","drosophila",2705,8458,1.553,2.42639204779303
"reactome","reactome",5973,145778,19.087,31.3708289609449
"route_views","route_views",6474,12572,7.977,10.6278625359636
"spanish","spanish",11558,43050,31.316,45.5405556371137
"foldoc","foldoc",13356,91471,74.914,81.4867743790289
"tree_of_life","tree_of_life",16415,440122,217.597,238.269710085486
"word_assoc","word_assoc",23132,297094,323.903,325.405812316374
"enron","enron",33696,180811,313.121,443.500663229759
"marker_cafe","marker_cafe",69317,1644794,4248.167,3777.83521521406
"prosper","prosper",89171,3329970,12928.95,7729.2691022609
