"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
11,13,11.1538461538462,0,0.301903898458749,0.0161813416293773,2,1,"genereg",1000,1996
14,14,12.7857142857143,0.032967032967033,0.311603243917654,0.0218033729020387,2,1,"SIS",1000,1996
20,12,15.8333333333333,0.0303030303030303,0.315939278937381,0.0158605446013411,2,1,"genereg",1000,1996
22,5,31.6,0.1,0.312382739212007,0.00522073441386051,2,4,"genereg",1000,1996
22,5,31.6,0.1,0.312382739212007,0.00522073441386051,2,2,"doublewell",1000,1996
22,5,31.6,0.1,0.312382739212007,0.00522073441386051,2,3,"SIS",1000,1996
24,6,17,0.0666666666666667,0.294083014424492,0.00421356389185203,2,1,"mutualistic",1000,1996
24,6,17,0.0666666666666667,0.294083014424492,0.00421356389185203,2,1,"doublewell",1000,1996
24,6,17,0.0666666666666667,0.294083014424492,0.00421356389185203,2,2,"genereg",1000,1996
25,12,12.25,0,0.30823819808701,0.0158535194655953,2,1,"mutualistic",1000,1996
29,10,14.7,0,0.309863523573201,0.0154449364875109,2,1,"SIS",1000,1996
30,14,11.7857142857143,0,0.310248447204969,0.0195645608519218,2,1,"SIS",1000,1996
34,8,7.875,0,0.272207084468665,0.00572825444226002,2,1,"mutualistic",1000,1996
34,8,7.875,0,0.272207084468665,0.00572825444226002,2,1,"doublewell",1000,1996
34,8,7.875,0,0.272207084468665,0.00572825444226002,2,1,"genereg",1000,1996
35,16,6.8125,0.00833333333333333,0.282922684791844,0.0203368948098641,2,2,"mutualistic",1000,1996
36,3,14,0,0.266826923076923,0.000862758189845763,2,3,"mutualistic",1000,1996
36,3,14,0,0.266826923076923,0.000862758189845763,2,1,"genereg",1000,1996
37,4,14.25,0,0.262135922330097,0.00195515313048353,2,1,"SIS",1000,1996
38,5,33.2,0.1,0.310537768106932,0.00695908488737665,2,2,"SIS",1000,1996
39,7,6.42857142857143,0,0.262480294272202,0.00428960586481202,2,3,"SIS",1000,1996
39,7,6.42857142857143,0,0.262480294272202,0.00428960586481202,2,1,"genereg",1000,1996
39,7,6.42857142857143,0,0.262480294272202,0.00428960586481202,2,2,"mutualistic",1000,1996
39,7,6.42857142857143,0,0.262480294272202,0.00428960586481202,2,1,"doublewell",1000,1996
40,18,8.16666666666667,0.0065359477124183,0.304387568555759,0.021101989999032,2,1,"SIS",1000,1996
43,6,5.16666666666667,0,0.251131221719457,0.00170070880232597,2,1,"genereg",1000,1996
44,6,8.33333333333333,0,0.266471058949053,0.00230177995039226,2,1,"SIS",1000,1996
44,6,8.33333333333333,0,0.266471058949053,0.00230177995039226,2,2,"genereg",1000,1996
47,13,4,0,0.26862059693466,0.0115823986186531,2,2,"mutualistic",1000,1996
48,7,7,0,0.258741258741259,0.00292706944642117,2,5,"genereg",1000,1996
49,11,8.54545454545454,0,0.282123693871788,0.0120296868785458,2,2,"genereg",1000,1996
49,11,8.54545454545454,0,0.282123693871788,0.0120296868785458,2,2,"mutualistic",1000,1996
50,7,6.85714285714286,0,0.245575221238938,0.0053056408077096,2,1,"genereg",1000,1996
50,7,6.85714285714286,0,0.245575221238938,0.0053056408077096,2,2,"mutualistic",1000,1996
50,7,6.85714285714286,0,0.245575221238938,0.0053056408077096,2,2,"SIS",1000,1996
52,8,16,0,0.298476247385719,0.0093349036391391,2,2,"SIS",1000,1996
52,8,16,0,0.298476247385719,0.0093349036391391,2,3,"genereg",1000,1996
54,10,12.9,0,0.300360793746242,0.0118673172753917,2,3,"mutualistic",1000,1996
54,10,12.9,0,0.300360793746242,0.0118673172753917,2,5,"genereg",1000,1996
55,10,16.6,0.0222222222222222,0.309096534653465,0.0129327104543977,2,4,"genereg",1000,1996
56,8,22.625,0.0714285714285714,0.316941624365482,0.0109450268385963,2,1,"SIS",1000,1996
