"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
1,6,7.33333333333333,0.266666666666667,0.363095238095238,0.0223657375984092,4,7,"doublewell",62,159
1,6,7.33333333333333,0.266666666666667,0.363095238095238,0.0223657375984092,4,4,"SIS",62,159
1,6,7.33333333333333,0.266666666666667,0.363095238095238,0.0223657375984092,4,3,"genereg",62,159
2,7,6.28571428571429,0.523809523809524,0.252066115702479,0.0208943803615935,4,6,"SIS",62,159
2,7,6.28571428571429,0.523809523809524,0.252066115702479,0.0208943803615935,4,2,"genereg",62,159
2,7,6.28571428571429,0.523809523809524,0.252066115702479,0.0208943803615935,4,12,"mutualistic",62,159
2,7,6.28571428571429,0.523809523809524,0.252066115702479,0.0208943803615935,4,12,"doublewell",62,159
3,5,6.2,0.4,0.312820512820513,0.016092020911693,4,11,"genereg",62,159
3,5,6.2,0.4,0.312820512820513,0.016092020911693,4,10,"SIS",62,159
3,5,6.2,0.4,0.312820512820513,0.016092020911693,4,1,"mutualistic",62,159
3,5,6.2,0.4,0.312820512820513,0.016092020911693,4,1,"doublewell",62,159
4,8,6.25,0.5,0.271111111111111,0.0528463284386915,4,18,"mutualistic",62,159
4,8,6.25,0.5,0.271111111111111,0.0528463284386915,4,2,"SIS",62,159
4,8,6.25,0.5,0.271111111111111,0.0528463284386915,4,18,"doublewell",62,159
5,12,6.75,0.257575757575758,0.376543209876543,0.0619720048488541,4,7,"SIS",62,159
5,12,6.75,0.257575757575758,0.376543209876543,0.0619720048488541,4,5,"genereg",62,159
5,12,6.75,0.257575757575758,0.376543209876543,0.0619720048488541,4,18,"doublewell",62,159
6,7,6.42857142857143,0.238095238095238,0.338888888888889,0.0332922209822332,4,3,"SIS",62,159
6,7,6.42857142857143,0.238095238095238,0.338888888888889,0.0332922209822332,4,21,"doublewell",62,159
7,6,9.5,0.6,0.32972972972973,0.00330470986208691,4,2,"SIS",62,159
7,6,9.5,0.6,0.32972972972973,0.00330470986208691,4,13,"genereg",62,159
7,6,9.5,0.6,0.32972972972973,0.00330470986208691,4,10,"mutualistic",62,159
7,6,9.5,0.6,0.32972972972973,0.00330470986208691,4,3,"doublewell",62,159
8,9,5.33333333333333,0.222222222222222,0.309644670050761,0.11430016291547,4,27,"genereg",62,159
8,9,5.33333333333333,0.222222222222222,0.309644670050761,0.11430016291547,4,7,"SIS",62,159
8,9,5.33333333333333,0.222222222222222,0.309644670050761,0.11430016291547,4,2,"mutualistic",62,159
9,7,8.28571428571429,0.523809523809524,0.337016574585635,0.0148548997169549,4,12,"genereg",62,159
9,7,8.28571428571429,0.523809523809524,0.337016574585635,0.0148548997169549,4,1,"SIS",62,159
9,7,8.28571428571429,0.523809523809524,0.337016574585635,0.0148548997169549,4,7,"doublewell",62,159
9,7,8.28571428571429,0.523809523809524,0.337016574585635,0.0148548997169549,4,1,"mutualistic",62,159
10,4,6.25,0.5,0.316062176165803,0.0133143941668532,4,10,"genereg",62,159
10,4,6.25,0.5,0.316062176165803,0.0133143941668532,4,6,"doublewell",62,159
11,9,6.22222222222222,0.138888888888889,0.391025641025641,0.10264573972091,4,6,"SIS",62,159
11,9,6.22222222222222,0.138888888888889,0.391025641025641,0.10264573972091,4,7,"genereg",62,159
11,9,6.22222222222222,0.138888888888889,0.391025641025641,0.10264573972091,4,13,"doublewell",62,159
11,9,6.22222222222222,0.138888888888889,0.391025641025641,0.10264573972091,4,1,"mutualistic",62,159
12,6,9.66666666666667,0.533333333333333,0.333333333333333,0.0127006539301621,4,3,"doublewell",62,159
12,6,9.66666666666667,0.533333333333333,0.333333333333333,0.0127006539301621,4,8,"genereg",62,159
12,6,9.66666666666667,0.533333333333333,0.333333333333333,0.0127006539301621,4,6,"mutualistic",62,159
12,6,9.66666666666667,0.533333333333333,0.333333333333333,0.0127006539301621,4,1,"SIS",62,159
13,1,9,0,0.237354085603113,0,1,10,"genereg",62,159
13,1,9,0,0.237354085603113,0,1,5,"SIS",62,159
14,6,9.33333333333333,0.533333333333333,0.312820512820513,0.00738304348960087,4,10,"genereg",62,159
14,6,9.33333333333333,0.533333333333333,0.312820512820513,0.00738304348960087,4,1,"SIS",62,159
14,6,9.33333333333333,0.533333333333333,0.312820512820513,0.00738304348960087,4,2,"doublewell",62,159
14,6,9.33333333333333,0.533333333333333,0.312820512820513,0.00738304348960087,4,1,"mutualistic",62,159
15,3,5.66666666666667,0.666666666666667,0.255230125523013,0.00164411484083615,3,26,"mutualistic",62,159
15,3,5.66666666666667,0.666666666666667,0.255230125523013,0.00164411484083615,3,11,"genereg",62,159
16,3,5.33333333333333,0.666666666666667,0.277272727272727,0.00436247723132969,3,8,"mutualistic",62,159
16,3,5.33333333333333,0.666666666666667,0.277272727272727,0.00436247723132969,3,10,"genereg",62,159
17,5,5.6,0.4,0.316062176165803,0.029236860493158,3,14,"SIS",62,159
17,5,5.6,0.4,0.316062176165803,0.029236860493158,3,16,"genereg",62,159
17,5,5.6,0.4,0.316062176165803,0.029236860493158,3,18,"doublewell",62,159
18,5,6.8,0.3,0.365269461077844,0.0667569546639566,4,1,"mutualistic",62,159
18,5,6.8,0.3,0.365269461077844,0.0667569546639566,4,1,"SIS",62,159
18,5,6.8,0.3,0.365269461077844,0.0667569546639566,4,5,"doublewell",62,159
18,5,6.8,0.3,0.365269461077844,0.0667569546639566,4,8,"genereg",62,159
19,9,6.33333333333333,0.25,0.322751322751323,0.0655292824964956,4,3,"genereg",62,159
19,9,6.33333333333333,0.25,0.322751322751323,0.0655292824964956,4,13,"SIS",62,159
20,5,5.2,0.3,0.322751322751323,0.0330504607717723,4,15,"SIS",62,159
20,5,5.2,0.3,0.322751322751323,0.0330504607717723,4,8,"doublewell",62,159
20,5,5.2,0.3,0.322751322751323,0.0330504607717723,4,10,"mutualistic",62,159
20,5,5.2,0.3,0.322751322751323,0.0330504607717723,4,8,"genereg",62,159
21,1,9,0,0.237354085603113,0,1,7,"SIS",62,159
21,1,9,0,0.237354085603113,0,1,5,"genereg",62,159
22,3,5.33333333333333,0.333333333333333,0.216312056737589,0.0327868852459016,2,4,"genereg",62,159
23,10,7.1,0.333333333333333,0.365269461077844,0.0571664401172598,4,10,"SIS",62,159
23,10,7.1,0.333333333333333,0.365269461077844,0.0571664401172598,4,1,"genereg",62,159
24,5,7.8,0.3,0.316062176165803,0.0326947597029564,3,5,"SIS",62,159
24,5,7.8,0.3,0.316062176165803,0.0326947597029564,3,11,"mutualistic",62,159
25,1,9,0,0.244979919678715,0,1,8,"SIS",62,159
25,1,9,0,0.244979919678715,0,1,3,"genereg",62,159
25,1,9,0,0.244979919678715,0,1,3,"mutualistic",62,159
25,1,9,0,0.244979919678715,0,1,85,"doublewell",62,159
26,7,6.57142857142857,0.0476190476190476,0.417808219178082,0.248237196028938,4,8,"SIS",62,159
26,7,6.57142857142857,0.0476190476190476,0.417808219178082,0.248237196028938,4,1,"mutualistic",62,159
26,7,6.57142857142857,0.0476190476190476,0.417808219178082,0.248237196028938,4,4,"genereg",62,159
26,7,6.57142857142857,0.0476190476190476,0.417808219178082,0.248237196028938,4,19,"doublewell",62,159
27,11,7.36363636363636,0.236363636363636,0.398692810457516,0.138569788658594,4,13,"genereg",62,159
27,11,7.36363636363636,0.236363636363636,0.398692810457516,0.138569788658594,4,18,"doublewell",62,159
27,11,7.36363636363636,0.236363636363636,0.398692810457516,0.138569788658594,4,8,"SIS",62,159
28,8,6.625,0.285714285714286,0.32972972972973,0.0453522388358454,4,15,"mutualistic",62,159
28,8,6.625,0.285714285714286,0.32972972972973,0.0453522388358454,4,5,"SIS",62,159
29,2,8,0,0.335164835164835,0.070516778539934,2,4,"genereg",62,159
29,2,8,0,0.335164835164835,0.070516778539934,2,2,"mutualistic",62,159
29,2,8,0,0.335164835164835,0.070516778539934,2,17,"SIS",62,159
30,8,7.75,0.25,0.403973509933775,0.143149518342618,4,3,"SIS",62,159
30,8,7.75,0.25,0.403973509933775,0.143149518342618,4,10,"mutualistic",62,159
30,8,7.75,0.25,0.403973509933775,0.143149518342618,4,6,"doublewell",62,159
30,8,7.75,0.25,0.403973509933775,0.143149518342618,4,11,"genereg",62,159
31,5,7.8,0.6,0.297560975609756,0.0232516006701862,4,1,"SIS",62,159
31,5,7.8,0.6,0.297560975609756,0.0232516006701862,4,3,"doublewell",62,159
31,5,7.8,0.6,0.297560975609756,0.0232516006701862,4,1,"genereg",62,159
32,6,5.5,0.333333333333333,0.32972972972973,0.0291579519448372,4,8,"doublewell",62,159
32,6,5.5,0.333333333333333,0.32972972972973,0.0291579519448372,4,1,"mutualistic",62,159
32,6,5.5,0.333333333333333,0.32972972972973,0.0291579519448372,4,10,"genereg",62,159
32,6,5.5,0.333333333333333,0.32972972972973,0.0291579519448372,4,29,"SIS",62,159
33,7,7.71428571428571,0.238095238095238,0.337016574585635,0.0628306044289651,4,16,"mutualistic",62,159
33,7,7.71428571428571,0.238095238095238,0.337016574585635,0.0628306044289651,4,8,"SIS",62,159
34,4,6.5,0.166666666666667,0.311224489795918,0.0120378058492813,3,2,"doublewell",62,159
34,4,6.5,0.166666666666667,0.311224489795918,0.0120378058492813,3,1,"SIS",62,159
34,4,6.5,0.166666666666667,0.311224489795918,0.0120378058492813,3,13,"genereg",62,159
34,4,6.5,0.166666666666667,0.311224489795918,0.0120378058492813,3,28,"mutualistic",62,159
35,11,7,0.309090909090909,0.346590909090909,0.0406704405964702,4,13,"mutualistic",62,159
35,11,7,0.309090909090909,0.346590909090909,0.0406704405964702,4,7,"genereg",62,159
35,11,7,0.309090909090909,0.346590909090909,0.0406704405964702,4,6,"SIS",62,159
35,11,7,0.309090909090909,0.346590909090909,0.0406704405964702,4,18,"doublewell",62,159
36,2,4.5,0,0.256302521008403,0.00300846694289317,2,21,"mutualistic",62,159
36,2,4.5,0,0.256302521008403,0.00300846694289317,2,1,"genereg",62,159
36,2,4.5,0,0.256302521008403,0.00300846694289317,2,3,"SIS",62,159
37,6,6,0.4,0.338888888888889,0.0232014761195089,4,3,"doublewell",62,159
37,6,6,0.4,0.338888888888889,0.0232014761195089,4,18,"SIS",62,159
37,6,6,0.4,0.338888888888889,0.0232014761195089,4,5,"genereg",62,159
38,2,3.5,0,0.246963562753036,0.00092896174863388,2,10,"mutualistic",62,159
39,7,9.14285714285714,0.238095238095238,0.350574712643678,0.0334110349274284,4,6,"doublewell",62,159
39,7,9.14285714285714,0.238095238095238,0.350574712643678,0.0334110349274284,4,13,"mutualistic",62,159
39,7,9.14285714285714,0.238095238095238,0.350574712643678,0.0334110349274284,4,6,"genereg",62,159
40,10,5.3,0.244444444444444,0.32972972972973,0.0846772547502255,4,16,"SIS",62,159
40,10,5.3,0.244444444444444,0.32972972972973,0.0846772547502255,4,3,"mutualistic",62,159
41,4,9.25,0.333333333333333,0.342696629213483,0.0192343448900826,4,2,"mutualistic",62,159
41,4,9.25,0.333333333333333,0.342696629213483,0.0192343448900826,4,3,"genereg",62,159
42,2,5,0,0.259574468085106,0.00119307832422587,2,8,"mutualistic",62,159
42,2,5,0,0.259574468085106,0.00119307832422587,2,9,"SIS",62,159
42,2,5,0,0.259574468085106,0.00119307832422587,2,5,"genereg",62,159
43,7,6.42857142857143,0.380952380952381,0.324468085106383,0.0991216467635194,4,10,"SIS",62,159
43,7,6.42857142857143,0.380952380952381,0.324468085106383,0.0991216467635194,4,13,"doublewell",62,159
43,7,6.42857142857143,0.380952380952381,0.324468085106383,0.0991216467635194,4,1,"genereg",62,159
44,2,8.5,0,0.271111111111111,0.000877469525010509,2,2,"mutualistic",62,159
44,2,8.5,0,0.271111111111111,0.000877469525010509,2,8,"SIS",62,159
44,2,8.5,0,0.271111111111111,0.000877469525010509,2,3,"genereg",62,159
