"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
1,1,3,0,0.185167431349723,0,1,1,"doublewell",2705,8458
1,1,3,0,0.185167431349723,0,1,1,"SIS",2705,8458
3,3,10.3333333333333,0,0.227112380312448,0.000756275547104622,2,1,"SIS",2705,8458
3,3,10.3333333333333,0,0.227112380312448,0.000756275547104622,2,1,"genereg",2705,8458
3,3,10.3333333333333,0,0.227112380312448,0.000756275547104622,2,1,"doublewell",2705,8458
7,1,10,0,0.195178287859102,0,1,1,"genereg",2705,8458
10,14,10,0.021978021978022,0.253468316460442,0.00239366341368085,5,1,"mutualistic",2705,8458
12,24,17.6666666666667,0.0615942028985507,0.273490441994538,0.00655667959767756,8,1,"SIS",2705,8458
12,24,17.6666666666667,0.0615942028985507,0.273490441994538,0.00655667959767756,8,1,"genereg",2705,8458
15,1,7,0,0.186341396182207,0,1,2,"genereg",2705,8458
15,1,7,0,0.186341396182207,0,1,1,"doublewell",2705,8458
17,1,26,0,0.196383179606362,0,1,2,"doublewell",2705,8458
19,2,13,0,0.207012708620426,1.07781045854663e-05,2,1,"SIS",2705,8458
21,15,29.4,0.00952380952380952,0.240227434257285,0.00193318782527597,7,3,"genereg",2705,8458
21,15,29.4,0.00952380952380952,0.240227434257285,0.00193318782527597,7,1,"SIS",2705,8458
23,4,7.25,0.833333333333333,0.212528491707931,4.56064231356641e-08,4,1,"doublewell",2705,8458
24,6,7.33333333333333,0.666666666666667,0.216527866752082,1.87800187485286e-05,5,1,"doublewell",2705,8458
24,6,7.33333333333333,0.666666666666667,0.216527866752082,1.87800187485286e-05,5,1,"SIS",2705,8458
32,1,65,0,0.222734761120264,0,1,1,"genereg",2705,8458
33,2,35.5,0,0.245773495728049,0.000408530073375381,2,1,"SIS",2705,8458
34,5,9.4,0,0.233364977992578,0.00159665380388816,2,1,"doublewell",2705,8458
34,5,9.4,0,0.233364977992578,0.00159665380388816,2,1,"genereg",2705,8458
36,4,6.25,0,0.223563455973543,0.0013813040178157,2,1,"mutualistic",2705,8458
36,4,6.25,0,0.223563455973543,0.0013813040178157,2,1,"doublewell",2705,8458
38,7,3.57142857142857,0,0.209223150727329,0.00176512434104359,3,1,"genereg",2705,8458
41,14,36.8571428571429,0.043956043956044,0.239080459770115,0.000645421821767568,10,2,"SIS",2705,8458
41,14,36.8571428571429,0.043956043956044,0.239080459770115,0.000645421821767568,10,1,"mutualistic",2705,8458
42,1,4,0,0.184977425092352,0,1,1,"SIS",2705,8458
42,1,4,0,0.184977425092352,0,1,1,"doublewell",2705,8458
45,30,16.6,0.0206896551724138,0.283141361256544,0.0118044662659806,8,1,"mutualistic",2705,8458
46,4,20.5,0,0.210215346342222,4.58714411348385e-06,4,1,"mutualistic",2705,8458
48,10,61.9,0.0888888888888889,0.239971600993965,0.00024866596302891,9,1,"SIS",2705,8458
48,10,61.9,0.0888888888888889,0.239971600993965,0.00024866596302891,9,1,"genereg",2705,8458
48,10,61.9,0.0888888888888889,0.239971600993965,0.00024866596302891,9,1,"doublewell",2705,8458
49,12,29.25,0.0303030303030303,0.235437527209404,0.000271250861821401,7,1,"genereg",2705,8458
50,31,30.1290322580645,0.0236559139784946,0.256814512299364,0.00384750899623892,12,1,"doublewell",2705,8458
51,22,21.3636363636364,0.0432900432900433,0.274685087362861,0.00486221712526987,8,1,"genereg",2705,8458
56,4,19.5,0,0.223711425498469,0.00106678813576893,2,1,"SIS",2705,8458
57,3,31,0,0.235478533484281,0.000508781476571614,2,1,"genereg",2705,8458
58,27,13.5555555555556,0.0199430199430199,0.287567797511433,0.015668777355474,7,1,"doublewell",2705,8458
58,27,13.5555555555556,0.0199430199430199,0.287567797511433,0.015668777355474,7,1,"mutualistic",2705,8458
60,15,18.4666666666667,0.0380952380952381,0.267405063291139,0.0034918703728332,7,1,"genereg",2705,8458
