"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
1,30,23.3333333333333,0.227586206896552,0.349706518381217,0.00836310294736615,10,1,"doublewell",1133,5451
1,30,23.3333333333333,0.227586206896552,0.349706518381217,0.00836310294736615,10,3,"genereg",1133,5451
1,30,23.3333333333333,0.227586206896552,0.349706518381217,0.00836310294736615,10,1,"SIS",1133,5451
2,23,20.3478260869565,0.292490118577075,0.32707310026004,0.00750749582078757,10,1,"doublewell",1133,5451
2,23,20.3478260869565,0.292490118577075,0.32707310026004,0.00750749582078757,10,3,"mutualistic",1133,5451
4,22,21.5,0.264069264069264,0.326695526695527,0.0050322766292369,9,1,"SIS",1133,5451
4,22,21.5,0.264069264069264,0.326695526695527,0.0050322766292369,9,1,"genereg",1133,5451
4,22,21.5,0.264069264069264,0.326695526695527,0.0050322766292369,9,1,"mutualistic",1133,5451
6,21,20.4285714285714,0.219047619047619,0.3296447291788,0.00315092850062105,10,1,"SIS",1133,5451
6,21,20.4285714285714,0.219047619047619,0.3296447291788,0.00315092850062105,10,2,"genereg",1133,5451
6,21,20.4285714285714,0.219047619047619,0.3296447291788,0.00315092850062105,10,1,"doublewell",1133,5451
7,26,18.8846153846154,0.138461538461538,0.336504161712247,0.0125850509144284,10,1,"mutualistic",1133,5451
7,26,18.8846153846154,0.138461538461538,0.336504161712247,0.0125850509144284,10,1,"genereg",1133,5451
7,26,18.8846153846154,0.138461538461538,0.336504161712247,0.0125850509144284,10,1,"SIS",1133,5451
8,8,19.375,0.464285714285714,0.289959016393443,0.000602118823009911,7,1,"genereg",1133,5451
8,8,19.375,0.464285714285714,0.289959016393443,0.000602118823009911,7,1,"mutualistic",1133,5451
9,17,31.7647058823529,0.338235294117647,0.337005061030068,0.00346979056012604,10,1,"mutualistic",1133,5451
9,17,31.7647058823529,0.338235294117647,0.337005061030068,0.00346979056012604,10,1,"doublewell",1133,5451
11,20,23,0.215789473684211,0.336804522463553,0.00411829863638402,10,2,"genereg",1133,5451
11,20,23,0.215789473684211,0.336804522463553,0.00411829863638402,10,4,"SIS",1133,5451
12,18,18.8333333333333,0.287581699346405,0.309543341536779,0.00267910566131231,10,1,"mutualistic",1133,5451
12,18,18.8333333333333,0.287581699346405,0.309543341536779,0.00267910566131231,10,3,"genereg",1133,5451
12,18,18.8333333333333,0.287581699346405,0.309543341536779,0.00267910566131231,10,1,"doublewell",1133,5451
12,18,18.8333333333333,0.287581699346405,0.309543341536779,0.00267910566131231,10,1,"SIS",1133,5451
13,25,21.88,0.16,0.347239263803681,0.0141281719935313,10,1,"mutualistic",1133,5451
13,25,21.88,0.16,0.347239263803681,0.0141281719935313,10,1,"genereg",1133,5451
13,25,21.88,0.16,0.347239263803681,0.0141281719935313,10,2,"SIS",1133,5451
13,25,21.88,0.16,0.347239263803681,0.0141281719935313,10,1,"doublewell",1133,5451
14,36,13.4722222222222,0.0888888888888889,0.321865226044925,0.0126204511558184,9,1,"doublewell",1133,5451
15,19,21.6842105263158,0.175438596491228,0.332257117698855,0.0049010961541845,9,2,"SIS",1133,5451
15,19,21.6842105263158,0.175438596491228,0.332257117698855,0.0049010961541845,9,1,"genereg",1133,5451
15,19,21.6842105263158,0.175438596491228,0.332257117698855,0.0049010961541845,9,2,"doublewell",1133,5451
17,7,17.2857142857143,0.238095238095238,0.279575203754013,0.000775411592999439,5,2,"SIS",1133,5451
17,7,17.2857142857143,0.238095238095238,0.279575203754013,0.000775411592999439,5,2,"genereg",1133,5451
17,7,17.2857142857143,0.238095238095238,0.279575203754013,0.000775411592999439,5,2,"doublewell",1133,5451
18,18,23.3888888888889,0.339869281045752,0.325193909796036,0.00259339036620889,10,1,"genereg",1133,5451
18,18,23.3888888888889,0.339869281045752,0.325193909796036,0.00259339036620889,10,1,"SIS",1133,5451
19,28,20.9285714285714,0.158730158730159,0.341684274071838,0.00683900954740254,10,1,"SIS",1133,5451
21,43,19.0232558139535,0.0952380952380952,0.35788808093582,0.019476237901143,10,2,"doublewell",1133,5451
22,15,20.9333333333333,0.476190476190476,0.312275862068966,0.000767162364625644,10,1,"doublewell",1133,5451
22,15,20.9333333333333,0.476190476190476,0.312275862068966,0.000767162364625644,10,1,"mutualistic",1133,5451
22,15,20.9333333333333,0.476190476190476,0.312275862068966,0.000767162364625644,10,2,"genereg",1133,5451
