"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
1,1,70,0,0.230437280299818,0,1,1,"SIS",33696,180811
5,8,101.875,0.535714285714286,0.275531314651119,4.81431968604556e-06,6,1,"genereg",33696,180811
6,62,318.774193548387,0.11158117398202,0.356123700008455,0.00855520075237617,34,1,"genereg",33696,180811
8,14,172.5,0.494505494505495,0.291822559412458,6.16803481826347e-05,10,1,"mutualistic",33696,180811
32,3,37.6666666666667,0,0.231420113872844,2.6907770455261e-06,3,1,"mutualistic",33696,180811
34,1,70,0,0.230437280299818,0,1,1,"SIS",33696,180811
39,1,70,0,0.230437280299818,0,1,1,"SIS",33696,180811
40,18,127.722222222222,0.0457516339869281,0.289734814610993,0.000494605085494475,9,1,"SIS",33696,180811
40,18,127.722222222222,0.0457516339869281,0.289734814610993,0.000494605085494475,9,1,"mutualistic",33696,180811
41,1,70,0,0.230437280299818,0,1,1,"genereg",33696,180811
42,3,197,0,0.254915608143379,0.000194958046764461,3,1,"SIS",33696,180811
56,16,93.9375,0.266666666666667,0.28243686138423,7.07199384811372e-05,10,1,"SIS",33696,180811
71,2,47,0,0.237013329581824,1.09850798591957e-06,2,1,"genereg",33696,180811
78,4,360.25,0.666666666666667,0.277984027984028,7.08807224157806e-07,4,1,"SIS",33696,180811
78,4,360.25,0.666666666666667,0.277984027984028,7.08807224157806e-07,4,1,"doublewell",33696,180811
85,48,152.520833333333,0.26241134751773,0.305948262555274,7.25335860192163e-05,29,1,"genereg",33696,180811
101,4,113,1,0.262710609002097,0,4,1,"mutualistic",33696,180811
114,34,147.794117647059,0.221033868092692,0.302781147504156,9.96580599683615e-05,24,1,"genereg",33696,180811
122,33,116.090909090909,0.255681818181818,0.296063614796591,0.000323135958256447,22,1,"mutualistic",33696,180811
138,17,192.294117647059,0.441176470588235,0.296040204183836,4.62163776012085e-06,13,1,"genereg",33696,180811
149,2,152.5,1,0.260430353526766,0,2,1,"SIS",33696,180811
154,22,55.2272727272727,0.181818181818182,0.278777499234696,2.98603705754548e-05,11,1,"genereg",33696,180811
159,2,53.5,1,0.24746985120228,0,2,1,"SIS",33696,180811
177,5,128.6,0.3,0.276179469525589,1.26674834238499e-06,3,1,"genereg",33696,180811
199,43,171.139534883721,0.174972314507198,0.312245162725183,0.000221209933101607,26,1,"SIS",33696,180811
210,1,339,0,0.26590749465344,0,1,1,"genereg",33696,180811
219,57,153.842105263158,0.181704260651629,0.312088990978641,0.000221233705973664,29,1,"mutualistic",33696,180811
220,40,164.4,0.205128205128205,0.311063311238714,0.000143636934891861,22,1,"genereg",33696,180811
221,8,352.125,0.535714285714286,0.293181007404572,1.01507352376208e-06,8,1,"mutualistic",33696,180811
228,51,183.078431372549,0.294901960784314,0.30765227395159,4.08160935608064e-05,32,1,"SIS",33696,180811
237,23,176.478260869565,0.379446640316206,0.293781714823792,9.01676292384691e-06,17,1,"mutualistic",33696,180811
252,81,160.135802469136,0.24783950617284,0.313252452005764,7.90925566059608e-05,38,1,"mutualistic",33696,180811
263,1,339,0,0.26590749465344,0,1,1,"SIS",33696,180811
271,5,433.8,1,0.28466789449673,0,5,1,"genereg",33696,180811
279,1,339,0,0.26590749465344,0,1,1,"doublewell",33696,180811
280,74,120.986486486486,0.085523880044428,0.314568454464828,0.000787426096197988,32,1,"SIS",33696,180811
310,59,133.677966101695,0.216832261835184,0.3047280554199,0.000560019320043953,30,1,"SIS",33696,180811
318,10,273.9,0.533333333333333,0.294459494887704,1.5612442441397e-06,10,1,"mutualistic",33696,180811
322,5,378.8,0.6,0.286783042394015,1.01936134122754e-06,5,1,"SIS",33696,180811
332,37,232.864864864865,0.177177177177177,0.314550835037014,0.000154378385270658,25,1,"genereg",33696,180811
353,1,339,0,0.26590749465344,0,1,1,"SIS",33696,180811
374,24,248.5,0.300724637681159,0.306234663273653,3.074756042764e-05,19,1,"genereg",33696,180811
378,34,193.323529411765,0.270944741532977,0.307391256750839,8.07031715510902e-05,30,1,"mutualistic",33696,180811
381,47,220.893617021277,0.173913043478261,0.322252082516426,0.000299242392011718,32,1,"genereg",33696,180811
382,51,167.470588235294,0.194509803921569,0.315357473770906,0.000196245720118087,30,1,"SIS",33696,180811
391,35,15.0285714285714,0.00672268907563025,0.281434274927752,0.00164821325091712,6,2,"doublewell",33696,180811
400,43,187.581395348837,0.419712070874862,0.311552259782528,8.51046772759872e-05,32,1,"doublewell",33696,180811
406,17,254.705882352941,0.419117647058824,0.297162864122622,5.34302085117809e-06,15,1,"genereg",33696,180811
412,2,502.5,0,0.279216420693256,6.87615545254439e-07,2,1,"doublewell",33696,180811
425,36,264.277777777778,0.558730158730159,0.311382391808596,1.34515548819923e-05,29,1,"doublewell",33696,180811
433,2,316,0,0.276168151529805,5.76774914771657e-08,2,1,"genereg",33696,180811
487,59,125.186440677966,0.270017533606078,0.303206183804408,8.58968091448516e-05,31,1,"mutualistic",33696,180811
492,57,229.017543859649,0.228696741854637,0.314166635587215,0.000287898576058784,33,1,"mutualistic",33696,180811
496,43,167.860465116279,0.287929125138427,0.308729075232956,3.07445345322831e-05,28,1,"mutualistic",33696,180811
501,74,158.743243243243,0.166604961125509,0.312109226650858,0.000166636471010651,35,1,"genereg",33696,180811
514,81,127.604938271605,0.146604938271605,0.316813343864004,0.000496802171216186,34,4,"genereg",33696,180811
514,81,127.604938271605,0.146604938271605,0.316813343864004,0.000496802171216186,34,1,"SIS",33696,180811
522,81,147.604938271605,0.177469135802469,0.312427560756243,0.000182221111714056,34,2,"genereg",33696,180811
530,22,246.045454545455,0.480519480519481,0.300660301597216,5.39814854394333e-06,20,1,"mutualistic",33696,180811
533,33,290.818181818182,0.323863636363636,0.314181282460115,0.000105049285236509,26,1,"SIS",33696,180811
535,14,193.785714285714,0.373626373626374,0.29003408621402,8.90025365451447e-06,12,1,"genereg",33696,180811
536,42,287.714285714286,0.315911730545877,0.32245870576301,8.57863552835376e-05,30,1,"mutualistic",33696,180811
547,63,132.063492063492,0.217613927291347,0.311702127659574,0.000140794605039391,33,1,"genereg",33696,180811
556,43,252.06976744186,0.286821705426357,0.317790415829632,3.78239288309921e-05,28,1,"doublewell",33696,180811
572,5,249.4,1,0.278620746682102,0,5,1,"doublewell",33696,180811
584,17,202.235294117647,0.389705882352941,0.290892923432873,1.58284258363021e-05,12,1,"mutualistic",33696,180811
584,17,202.235294117647,0.389705882352941,0.290892923432873,1.58284258363021e-05,12,1,"genereg",33696,180811
601,11,384.454545454545,0.545454545454545,0.300218291976656,3.17943585160592e-06,11,1,"SIS",33696,180811
609,20,344.65,0.426315789473684,0.302113313787198,3.04006077793579e-05,18,1,"SIS",33696,180811
611,36,274.138888888889,0.342857142857143,0.318719258418464,0.000244718090535532,29,2,"SIS",33696,180811
611,36,274.138888888889,0.342857142857143,0.318719258418464,0.000244718090535532,29,1,"mutualistic",33696,180811
645,54,178.481481481481,0.180992313067785,0.318144479799077,0.000362169006638541,29,1,"doublewell",33696,180811
661,19,157.421052631579,0.339181286549708,0.286717154526889,1.29936906001895e-05,15,1,"mutualistic",33696,180811
666,27,276,0.353276353276353,0.310630295096476,1.58779332001579e-05,20,1,"mutualistic",33696,180811
692,50,175.32,0.333877551020408,0.310647478034794,5.4688064056211e-05,31,1,"doublewell",33696,180811
714,12,113.083333333333,0.424242424242424,0.281211139950426,5.31304407342854e-06,9,1,"mutualistic",33696,180811
719,10,398,0.311111111111111,0.296055810847618,8.40421799065657e-06,10,1,"genereg",33696,180811
728,52,176.961538461538,0.239819004524887,0.314874171814113,0.000171381151869073,29,1,"mutualistic",33696,180811
741,7,269.714285714286,0.476190476190476,0.287838922963899,4.7739803161685e-07,7,1,"mutualistic",33696,180811
743,45,77.0666666666667,0.202020202020202,0.294822773845252,2.32372497499221e-05,24,1,"mutualistic",33696,180811
747,11,320.909090909091,0.6,0.295795914425922,3.75435210862195e-06,10,1,"SIS",33696,180811
754,51,220.352941176471,0.262745098039216,0.318514387265096,0.000156276102086382,32,1,"doublewell",33696,180811
755,47,223.255319148936,0.272895467160037,0.314974246800714,7.66703287709616e-05,34,1,"SIS",33696,180811
755,47,223.255319148936,0.272895467160037,0.314974246800714,7.66703287709616e-05,34,1,"doublewell",33696,180811
759,52,161.038461538462,0.170437405731523,0.315369280158738,0.0001980656473944,30,1,"SIS",33696,180811
765,43,154.372093023256,0.243632336655592,0.30822638333684,0.000107471078711698,26,1,"SIS",33696,180811
765,43,154.372093023256,0.243632336655592,0.30822638333684,0.000107471078711698,26,1,"doublewell",33696,180811
765,43,154.372093023256,0.243632336655592,0.30822638333684,0.000107471078711698,26,1,"genereg",33696,180811
770,60,216.4,0.229378531073446,0.321802744802162,0.000117977355383447,32,1,"genereg",33696,180811
777,23,183.695652173913,0.371541501976285,0.294056044752022,1.08390859457441e-05,18,1,"mutualistic",33696,180811
790,28,190.607142857143,0.214285714285714,0.308842265423782,0.000161369364876049,15,1,"genereg",33696,180811
807,4,515.5,1,0.288796132814509,0,4,2,"doublewell",33696,180811
808,40,246.475,0.365384615384615,0.312065867708893,2.27497121573813e-05,31,1,"SIS",33696,180811
808,40,246.475,0.365384615384615,0.312065867708893,2.27497121573813e-05,31,1,"mutualistic",33696,180811
812,18,245.444444444444,0.411764705882353,0.30581220163003,3.03151049035392e-05,16,1,"genereg",33696,180811
837,42,205.619047619048,0.340301974448316,0.311074798279141,4.4868878244841e-05,28,1,"SIS",33696,180811
837,42,205.619047619048,0.340301974448316,0.311074798279141,4.4868878244841e-05,28,1,"doublewell",33696,180811
850,1,468,0,0.267924588312938,0,1,1,"mutualistic",33696,180811
850,1,468,0,0.267924588312938,0,1,1,"genereg",33696,180811
874,62,146.370967741935,0.217874140666314,0.313156378371345,0.000195245056577767,34,1,"mutualistic",33696,180811
875,54,173.351851851852,0.251572327044025,0.311742501341524,8.64817581480744e-05,34,1,"doublewell",33696,180811
898,39,214.384615384615,0.34412955465587,0.306412891257298,1.8115137994586e-05,28,1,"mutualistic",33696,180811
931,39,184.128205128205,0.174089068825911,0.311676178671526,0.000179728833320201,25,1,"SIS",33696,180811
938,54,187.277777777778,0.16701607267645,0.316863991574117,0.000190066091495453,30,1,"doublewell",33696,180811
946,33,115.333333333333,0.21969696969697,0.299436584672259,0.000171765641475797,23,1,"genereg",33696,180811
987,3,73,1,0.231316848132028,0,3,1,"doublewell",33696,180811
996,33,91.5151515151515,0.306818181818182,0.285890039029357,8.3319707613373e-05,13,1,"mutualistic",33696,180811
997,8,26.75,0.964285714285714,0.241250680184437,2.46432259280201e-09,8,1,"mutualistic",33696,180811
1000,10,23.3,0.866666666666667,0.241264499498783,4.33197044777375e-08,8,1,"doublewell",33696,180811
1020,17,138.941176470588,0.529411764705882,0.274210611979167,3.97917386288943e-06,12,1,"mutualistic",33696,180811
1034,11,173.636363636364,0.4,0.282115257416044,2.02480964636836e-06,8,2,"doublewell",33696,180811
1035,61,104.16393442623,0.186885245901639,0.306624806624807,0.00015229333044329,30,1,"genereg",33696,180811
1036,38,184.736842105263,0.379800853485064,0.304068078040681,4.50428752005496e-05,29,1,"doublewell",33696,180811
1052,84,134.869047619048,0.159495123350545,0.31563515779416,0.000385294508340166,36,3,"genereg",33696,180811
1063,1,364,0,0.264322191454145,0,1,1,"doublewell",33696,180811
1114,51,189.137254901961,0.312156862745098,0.306493719130047,3.75332943277434e-05,33,1,"doublewell",33696,180811
1116,47,244.170212765957,0.194264569842738,0.323117346400591,0.00027503384004425,28,1,"doublewell",33696,180811
1122,49,294.938775510204,0.513605442176871,0.314108061749571,3.95069125919971e-05,39,1,"SIS",33696,180811
1127,47,205.468085106383,0.230342275670675,0.310951357038049,0.000147516162580195,26,1,"doublewell",33696,180811
