"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
5,4,4,0.166666666666667,0.0678475717367148,0.0184929084171318,2,1,"mutualistic",1039,1305
5,4,4,0.166666666666667,0.0678475717367148,0.0184929084171318,2,2,"SIS",1039,1305
5,4,4,0.166666666666667,0.0678475717367148,0.0184929084171318,2,2,"genereg",1039,1305
6,3,3.66666666666667,0,0.063841564671874,0.00264477898295763,2,1,"doublewell",1039,1305
6,3,3.66666666666667,0,0.063841564671874,0.00264477898295763,2,1,"mutualistic",1039,1305
7,5,3.6,0,0.0638965835641736,0.0622089101366058,2,1,"doublewell",1039,1305
7,5,3.6,0,0.0638965835641736,0.0622089101366058,2,1,"mutualistic",1039,1305
8,4,2.75,0,0.0601251158480074,0.0152673454376802,2,3,"genereg",1039,1305
8,4,2.75,0,0.0601251158480074,0.0152673454376802,2,1,"SIS",1039,1305
9,2,3.5,0,0.0567492209283254,0.00671215136296156,2,1,"SIS",1039,1305
9,2,3.5,0,0.0567492209283254,0.00671215136296156,2,1,"genereg",1039,1305
12,3,3.33333333333333,0,0.069557059572472,0.00303956499595511,2,3,"genereg",1039,1305
12,3,3.33333333333333,0,0.069557059572472,0.00303956499595511,2,2,"mutualistic",1039,1305
12,3,3.33333333333333,0,0.069557059572472,0.00303956499595511,2,1,"SIS",1039,1305
13,2,2.5,0,0.0656920448072907,0.000875997966191529,2,1,"mutualistic",1039,1305
13,2,2.5,0,0.0656920448072907,0.000875997966191529,2,3,"SIS",1039,1305
14,2,3,0,0.0636887961713094,0.000585307399896602,2,2,"SIS",1039,1305
14,2,3,0,0.0636887961713094,0.000585307399896602,2,1,"mutualistic",1039,1305
15,4,3.5,0,0.067887508175278,0.068020743570884,2,2,"genereg",1039,1305
15,4,3.5,0,0.067887508175278,0.068020743570884,2,6,"doublewell",1039,1305
15,4,3.5,0,0.067887508175278,0.068020743570884,2,1,"SIS",1039,1305
16,2,3,0,0.0635990441762147,0.00184967382195937,2,2,"mutualistic",1039,1305
16,2,3,0,0.0635990441762147,0.00184967382195937,2,1,"genereg",1039,1305
16,2,3,0,0.0635990441762147,0.00184967382195937,2,1,"doublewell",1039,1305
16,2,3,0,0.0635990441762147,0.00184967382195937,2,1,"SIS",1039,1305
17,2,2.5,0,0.0599445599445599,7.43213991746609e-06,2,1,"genereg",1039,1305
17,2,2.5,0,0.0599445599445599,7.43213991746609e-06,2,1,"doublewell",1039,1305
19,2,2.5,0,0.0567213114754098,0.00287530913056969,2,1,"genereg",1039,1305
20,2,2,0,0.0537072489263724,0.000970513604222446,2,1,"SIS",1039,1305
21,2,2.5,0,0.0510173989973459,2.38447822352037e-05,2,1,"SIS",1039,1305
21,2,2.5,0,0.0510173989973459,2.38447822352037e-05,2,1,"genereg",1039,1305
22,3,2,0,0.0537322704213687,0.00481974273647676,2,2,"mutualistic",1039,1305
23,2,2.5,0,0.0560414642047295,9.67802964447353e-05,2,1,"mutualistic",1039,1305
23,2,2.5,0,0.0560414642047295,9.67802964447353e-05,2,1,"SIS",1039,1305
23,2,2.5,0,0.0560414642047295,9.67802964447353e-05,2,1,"genereg",1039,1305
24,3,2.66666666666667,0,0.057487815684537,0.0027023697815223,2,2,"mutualistic",1039,1305
24,3,2.66666666666667,0,0.057487815684537,0.0027023697815223,2,1,"SIS",1039,1305
25,5,2.8,0,0.0609620015269866,0.00763427680914105,2,2,"doublewell",1039,1305
25,5,2.8,0,0.0609620015269866,0.00763427680914105,2,1,"genereg",1039,1305
25,5,2.8,0,0.0609620015269866,0.00763427680914105,2,1,"SIS",1039,1305
26,2,6.5,0,0.0619664497641932,0.00146267519201271,2,1,"genereg",1039,1305
26,2,6.5,0,0.0619664497641932,0.00146267519201271,2,1,"mutualistic",1039,1305
26,2,6.5,0,0.0619664497641932,0.00146267519201271,2,2,"doublewell",1039,1305
28,2,5,0,0.0627683376670496,7.59922230538336e-05,2,3,"genereg",1039,1305
28,2,5,0,0.0627683376670496,7.59922230538336e-05,2,1,"SIS",1039,1305
29,2,3.5,0,0.0636224333435489,0.000511554462758748,2,1,"mutualistic",1039,1305
32,2,5,0,0.0677766895200784,0.00059266831623173,2,1,"genereg",1039,1305
32,2,5,0,0.0677766895200784,0.00059266831623173,2,2,"SIS",1039,1305
32,2,5,0,0.0677766895200784,0.00059266831623173,2,3,"mutualistic",1039,1305
