"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
8,38,30.2631578947368,0.0682788051209104,0.297213691191525,0.000977398782309872,9,1,"SIS",13356,91471
11,34,31.2352941176471,0.110516934046346,0.286072315996915,0.000558544650063901,10,1,"genereg",13356,91471
12,21,20.5714285714286,0.20952380952381,0.266168410563029,0.000119551090901858,9,1,"SIS",13356,91471
15,26,17.1923076923077,0.110769230769231,0.266918495423112,0.000410582372688982,8,1,"mutualistic",13356,91471
19,41,66.1707317073171,0.0926829268292683,0.327681813720679,0.00195835876202391,10,1,"SIS",13356,91471
21,28,46.5,0.224867724867725,0.298662671079703,0.000318268407611498,10,1,"SIS",13356,91471
23,25,24.52,0.163333333333333,0.27263447994284,0.000264891396355666,9,1,"genereg",13356,91471
29,27,49.8148148148148,0.0826210826210826,0.304456856263536,0.00109666050396863,9,1,"genereg",13356,91471
31,21,35.5714285714286,0.152380952380952,0.286428173122292,0.000170301776397177,9,1,"SIS",13356,91471
31,21,35.5714285714286,0.152380952380952,0.286428173122292,0.000170301776397177,9,1,"mutualistic",13356,91471
34,28,28.4642857142857,0.161375661375661,0.268836684985003,0.000264325515477015,9,1,"genereg",13356,91471
37,65,35.8615384615385,0.0509615384615385,0.319604652275882,0.00377058886774708,10,1,"SIS",13356,91471
49,14,54.0714285714286,0.538461538461538,0.283684176986639,8.60086045148405e-05,8,1,"doublewell",13356,91471
51,24,54.9166666666667,0.213768115942029,0.300139338367494,0.000314887606865826,9,1,"genereg",13356,91471
55,13,62.7692307692308,0.205128205128205,0.285412036245512,0.000361452897082272,8,1,"mutualistic",13356,91471
56,6,11,0.266666666666667,0.234747148055053,1.84408396152924e-05,6,1,"mutualistic",13356,91471
63,9,29.1111111111111,0.638888888888889,0.258237296001238,1.3488020613821e-05,8,1,"SIS",13356,91471
64,11,24.5454545454545,0.418181818181818,0.261099923752175,2.82567042020371e-05,8,1,"mutualistic",13356,91471
70,9,18.5555555555556,0.25,0.256595000672469,1.37012906894986e-05,8,1,"doublewell",13356,91471
72,12,81.75,0.227272727272727,0.294279670353885,0.00018014618806335,9,1,"mutualistic",13356,91471
76,10,17.8,0.177777777777778,0.259501787657392,4.07556486215518e-05,7,1,"SIS",13356,91471
77,7,11.4285714285714,0.285714285714286,0.24301701392048,1.90956435500828e-05,6,1,"doublewell",13356,91471
78,21,64.9523809523809,0.166666666666667,0.302292944611693,0.000412790043165373,9,1,"mutualistic",13356,91471
79,12,23.25,0.287878787878788,0.264502584619041,4.50481360458978e-05,9,1,"doublewell",13356,91471
86,23,61.304347826087,0.150197628458498,0.302820733753571,0.000380027548606053,9,1,"mutualistic",13356,91471
91,21,58.0476190476191,0.0714285714285714,0.306532317297099,0.000598162080924746,9,1,"SIS",13356,91471
91,21,58.0476190476191,0.0714285714285714,0.306532317297099,0.000598162080924746,9,1,"doublewell",13356,91471
93,24,44.9583333333333,0.0507246376811594,0.296599817887046,0.000538290297843583,10,1,"SIS",13356,91471
98,8,25.125,0.357142857142857,0.259511872838211,1.06496102217835e-05,6,2,"SIS",13356,91471
98,8,25.125,0.357142857142857,0.259511872838211,1.06496102217835e-05,6,1,"doublewell",13356,91471
98,8,25.125,0.357142857142857,0.259511872838211,1.06496102217835e-05,6,1,"mutualistic",13356,91471
99,6,29.3333333333333,0.466666666666667,0.257480527492866,8.70815799786208e-06,6,1,"genereg",13356,91471
102,12,15.6666666666667,0.151515151515152,0.251848080259486,5.84850379551222e-05,9,1,"genereg",13356,91471
118,33,32.4242424242424,0.0852272727272727,0.289652330448739,0.000316076698581253,10,1,"SIS",13356,91471
118,33,32.4242424242424,0.0852272727272727,0.289652330448739,0.000316076698581253,10,2,"mutualistic",13356,91471
122,10,28.2,0.622222222222222,0.254628305592099,1.73948102268797e-06,10,1,"genereg",13356,91471
125,34,27.1470588235294,0.114081996434938,0.279031381889599,0.000315750615630776,10,1,"SIS",13356,91471
130,15,73.6666666666667,0.238095238095238,0.29893007431283,0.000214090109848122,9,1,"SIS",13356,91471
135,20,36.35,0.168421052631579,0.274652956298201,5.84176937641611e-05,10,1,"genereg",13356,91471
137,21,78.2380952380952,0.247619047619048,0.299883235280909,0.0001137169832703,10,1,"SIS",13356,91471
141,21,40.4761904761905,0.242857142857143,0.274342645850452,5.5557583382609e-05,10,1,"mutualistic",13356,91471
145,10,72.2,0.466666666666667,0.279475160088729,0.000187360350433679,7,1,"mutualistic",13356,91471
146,10,15.4,0.422222222222222,0.242933022883545,1.44422985335271e-05,8,1,"mutualistic",13356,91471
150,16,51.25,0.216666666666667,0.283148878429377,0.000171865784594813,9,1,"SIS",13356,91471
152,13,51.3076923076923,0.346153846153846,0.275838565763384,6.67351977961509e-05,9,1,"genereg",13356,91471
162,19,62.9473684210526,0.198830409356725,0.299647737216451,0.000245906812754194,9,2,"mutualistic",13356,91471
167,8,31.375,0.321428571428571,0.267083974961502,2.74991800231881e-05,7,2,"SIS",13356,91471
171,12,11.0833333333333,0.303030303030303,0.239943225713721,2.71904643351287e-05,8,1,"mutualistic",13356,91471
173,10,27.6,0.177777777777778,0.262166035217212,0.000125030368410077,6,1,"mutualistic",13356,91471
174,11,9.27272727272727,0.327272727272727,0.232811519419845,3.56370464967531e-05,7,5,"doublewell",13356,91471
179,6,10.6666666666667,0.533333333333333,0.2297120643985,3.28147359297559e-06,6,1,"mutualistic",13356,91471
183,7,12.8571428571429,0.619047619047619,0.248395796521901,1.15827708721483e-05,6,1,"mutualistic",13356,91471
185,24,95.0833333333333,0.148550724637681,0.320617467710184,0.000945951281589078,10,1,"doublewell",13356,91471
195,12,16.1666666666667,0.287878787878788,0.258537246399257,3.95353801603999e-05,8,1,"doublewell",13356,91471
201,8,18,0.321428571428571,0.242734328141188,5.01323235728822e-05,7,1,"doublewell",13356,91471
212,11,31.9090909090909,0.454545454545455,0.258918185343156,7.97493725263411e-05,8,1,"SIS",13356,91471
213,11,35.1818181818182,0.472727272727273,0.273276038469409,3.93242153902285e-05,8,1,"SIS",13356,91471
215,8,19,0.321428571428571,0.248451249232601,2.40258805978825e-05,8,1,"SIS",13356,91471
217,15,40.1333333333333,0.285714285714286,0.272896317789857,0.000148136480750096,9,1,"doublewell",13356,91471
219,11,27.8181818181818,0.381818181818182,0.261888420433376,8.41874098841736e-05,8,1,"genereg",13356,91471
219,11,27.8181818181818,0.381818181818182,0.261888420433376,8.41874098841736e-05,8,1,"mutualistic",13356,91471
222,9,13.3333333333333,0.555555555555556,0.241431050690578,8.74557426776741e-06,8,1,"SIS",13356,91471
230,11,21.7272727272727,0.181818181818182,0.252806330096352,6.86698812091052e-05,7,1,"mutualistic",13356,91471
236,7,14.7142857142857,0.380952380952381,0.253386711190377,1.00914225021919e-05,7,1,"mutualistic",13356,91471
239,13,21,0.217948717948718,0.259567355347807,5.93687827127612e-05,8,1,"mutualistic",13356,91471
253,15,17.7333333333333,0.20952380952381,0.247727694305324,9.77867567058405e-05,8,1,"mutualistic",13356,91471
256,7,13.5714285714286,0.333333333333333,0.240600284648783,2.21807272635459e-05,7,1,"SIS",13356,91471
258,8,9,0.321428571428571,0.227679560836729,1.1791719915004e-05,7,1,"genereg",13356,91471
259,7,29.4285714285714,0.428571428571429,0.254138915318744,8.06433140505031e-05,7,1,"SIS",13356,91471
262,10,16.2,0.4,0.242950700382027,3.16840241492316e-05,7,1,"mutualistic",13356,91471
265,19,19.0526315789474,0.263157894736842,0.254846958247462,0.000115260737120197,8,1,"genereg",13356,91471
266,13,16.2307692307692,0.256410256410256,0.241811367216499,9.19254649151934e-05,8,2,"mutualistic",13356,91471
271,9,18.1111111111111,0.277777777777778,0.251601356443105,3.46954409383014e-05,7,1,"SIS",13356,91471
274,16,56.625,0.141666666666667,0.292622537741844,0.000280740999600605,9,3,"mutualistic",13356,91471
283,14,22.8571428571429,0.230769230769231,0.263448602371136,9.22127895085285e-05,8,1,"mutualistic",13356,91471
285,8,45.5,0.285714285714286,0.264225229503007,3.99076540041911e-05,7,1,"SIS",13356,91471
288,8,56,0.392857142857143,0.272623349051789,7.01476701446256e-05,7,1,"doublewell",13356,91471
289,17,90.9411764705882,0.125,0.310523623511905,0.000576985555920053,8,2,"mutualistic",13356,91471
291,13,108.769230769231,0.192307692307692,0.307053846507564,0.000481989997615757,7,1,"doublewell",13356,91471
292,8,11.125,0.321428571428571,0.251947855943555,5.74641271485407e-05,6,1,"genereg",13356,91471
293,7,19.2857142857143,0.523809523809524,0.254042229408408,2.08182943079313e-05,6,1,"SIS",13356,91471
301,8,13.5,0.678571428571429,0.234751274389172,8.54132786782731e-06,7,1,"mutualistic",13356,91471
309,16,14.8125,0.35,0.243806707194625,6.97231129014446e-05,8,1,"SIS",13356,91471
317,6,9.66666666666667,0.6,0.239336917562724,4.36778310902939e-06,6,1,"mutualistic",13356,91471
317,6,9.66666666666667,0.6,0.239336917562724,4.36778310902939e-06,6,1,"SIS",13356,91471
318,9,64.1111111111111,0.305555555555556,0.278287143154824,0.000171328366415534,7,1,"SIS",13356,91471
321,13,19.0769230769231,0.153846153846154,0.252715437308406,0.000102868736067818,7,1,"mutualistic",13356,91471
332,8,14.25,0.428571428571429,0.23559193465874,1.96883938175737e-05,6,1,"mutualistic",13356,91471
335,11,16,0.218181818181818,0.257594753592439,9.52393201836364e-05,7,1,"SIS",13356,91471
347,11,21.2727272727273,0.509090909090909,0.24852522470551,2.54330730655867e-05,8,1,"doublewell",13356,91471
348,10,13.2,0.488888888888889,0.239603143277477,1.86741136728202e-05,8,1,"SIS",13356,91471
349,22,22.1818181818182,0.147186147186147,0.273841989788595,0.000345585589270387,8,1,"genereg",13356,91471
354,10,49.2,0.422222222222222,0.270251128154279,7.1164658095442e-05,8,1,"SIS",13356,91471
357,11,24.6363636363636,0.4,0.257559978400062,3.0652695751172e-05,9,1,"SIS",13356,91471
