"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
1,2,10.5,0,0.231501831501832,0.000132601740559445,2,2,"doublewell",949,2496
1,2,10.5,0,0.231501831501832,0.000132601740559445,2,1,"SIS",949,2496
2,5,12.2,0,0.271866934327502,0.00379424396482047,4,2,"doublewell",949,2496
2,5,12.2,0,0.271866934327502,0.00379424396482047,4,1,"SIS",949,2496
2,5,12.2,0,0.271866934327502,0.00379424396482047,4,1,"genereg",949,2496
5,3,13.6666666666667,0,0.262676641729011,0.000214942813073197,3,1,"mutualistic",949,2496
6,2,12.5,0,0.236763236763237,0.000326561159807874,2,1,"genereg",949,2496
6,2,12.5,0,0.236763236763237,0.000326561159807874,2,4,"doublewell",949,2496
7,1,4,0,0.200465214633115,0,1,1,"SIS",949,2496
8,2,7,0,0.231898238747554,0.000115247227371373,2,1,"mutualistic",949,2496
8,2,7,0,0.231898238747554,0.000115247227371373,2,1,"genereg",949,2496
9,3,10.6666666666667,0,0.248949579831933,0.000643684928814153,3,1,"SIS",949,2496
9,3,10.6666666666667,0,0.248949579831933,0.000643684928814153,3,2,"mutualistic",949,2496
9,3,10.6666666666667,0,0.248949579831933,0.000643684928814153,3,4,"doublewell",949,2496
10,4,8.25,0,0.253002401921537,0.000637447151647758,4,1,"SIS",949,2496
11,3,9.66666666666667,0,0.248623131392604,0.000344956354924465,3,1,"SIS",949,2496
12,3,13,0,0.260869565217391,0.00048786215303248,3,1,"genereg",949,2496
12,3,13,0,0.260869565217391,0.00048786215303248,3,2,"SIS",949,2496
12,3,13,0,0.260869565217391,0.00048786215303248,3,1,"doublewell",949,2496
13,3,5.66666666666667,0,0.221185254316379,0.000759521343971496,2,3,"doublewell",949,2496
13,3,5.66666666666667,0,0.221185254316379,0.000759521343971496,2,1,"genereg",949,2496
14,2,7,0,0.225071225071225,0.000101368470683362,2,1,"mutualistic",949,2496
15,4,8.25,0,0.258169934640523,0.00264031811615322,3,1,"mutualistic",949,2496
15,4,8.25,0,0.258169934640523,0.00264031811615322,3,1,"SIS",949,2496
15,4,8.25,0,0.258169934640523,0.00264031811615322,3,3,"doublewell",949,2496
15,4,8.25,0,0.258169934640523,0.00264031811615322,3,2,"genereg",949,2496
16,3,6,0,0.2314453125,0.00052375526946421,2,1,"SIS",949,2496
17,3,5.66666666666667,0,0.227501799856012,0.000500788620584768,3,1,"genereg",949,2496
18,3,9,0,0.24426694150992,0.000721852331950542,3,2,"genereg",949,2496
18,3,9,0,0.24426694150992,0.000721852331950542,3,1,"SIS",949,2496
18,3,9,0,0.24426694150992,0.000721852331950542,3,1,"mutualistic",949,2496
19,6,12.1666666666667,0,0.273751082876119,0.00419954019724261,4,1,"SIS",949,2496
19,6,12.1666666666667,0,0.273751082876119,0.00419954019724261,4,1,"mutualistic",949,2496
19,6,12.1666666666667,0,0.273751082876119,0.00419954019724261,4,2,"genereg",949,2496
20,2,4.5,0,0.218735579141671,6.75658316378598e-05,2,1,"genereg",949,2496
21,2,7.5,0,0.232866617538688,0.000102063751907199,2,2,"genereg",949,2496
21,2,7.5,0,0.232866617538688,0.000102063751907199,2,1,"mutualistic",949,2496
23,1,21,0,0.241775057383321,0,1,2,"genereg",949,2496
24,2,13.5,0,0.246746486205102,0.000121866335044692,2,2,"doublewell",949,2496
24,2,13.5,0,0.246746486205102,0.000121866335044692,2,2,"genereg",949,2496
24,2,13.5,0,0.246746486205102,0.000121866335044692,2,1,"mutualistic",949,2496
25,1,24,0,0.242021955578249,0,1,1,"SIS",949,2496
25,1,24,0,0.242021955578249,0,1,1,"mutualistic",949,2496
26,3,11.3333333333333,0,0.25112582781457,0.000640399841187106,3,1,"SIS",949,2496
26,3,11.3333333333333,0,0.25112582781457,0.000640399841187106,3,1,"doublewell",949,2496
26,3,11.3333333333333,0,0.25112582781457,0.000640399841187106,3,1,"mutualistic",949,2496
27,1,6,0,0.211654387139987,0,1,1,"genereg",949,2496
27,1,6,0,0.211654387139987,0,1,1,"SIS",949,2496
27,1,6,0,0.211654387139987,0,1,2,"mutualistic",949,2496
28,2,7.5,0,0.232580961727184,0.000129887913206805,2,1,"SIS",949,2496
29,4,5.25,0,0.235703630034809,0.00163302882670168,3,1,"SIS",949,2496
29,4,5.25,0,0.235703630034809,0.00163302882670168,3,1,"genereg",949,2496
30,5,11.2,0,0.26614261650758,0.00358682148340548,4,1,"doublewell",949,2496
30,5,11.2,0,0.26614261650758,0.00358682148340548,4,1,"SIS",949,2496
30,5,11.2,0,0.26614261650758,0.00358682148340548,4,1,"genereg",949,2496
31,5,13,0,0.272179155900086,0.00201599024823427,4,1,"doublewell",949,2496
31,5,13,0,0.272179155900086,0.00201599024823427,4,2,"SIS",949,2496
32,3,5,0,0.218533886583679,0.000215576488240774,3,2,"genereg",949,2496
32,3,5,0,0.218533886583679,0.000215576488240774,3,1,"SIS",949,2496
33,4,10.25,0,0.253205128205128,0.00146921553395787,4,1,"genereg",949,2496
34,3,4.66666666666667,0,0.223268959020254,0.00221015821236521,2,1,"genereg",949,2496
34,3,4.66666666666667,0,0.223268959020254,0.00221015821236521,2,1,"doublewell",949,2496
35,3,8.33333333333333,0,0.236940764808798,0.000511819858786729,3,2,"genereg",949,2496
35,3,8.33333333333333,0,0.236940764808798,0.000511819858786729,3,1,"SIS",949,2496
36,2,9.5,0,0.240121580547112,0.000163016064876803,2,1,"mutualistic",949,2496
36,2,9.5,0,0.240121580547112,0.000163016064876803,2,1,"genereg",949,2496
36,2,9.5,0,0.240121580547112,0.000163016064876803,2,1,"SIS",949,2496
37,3,3.66666666666667,0,0.212413174994398,0.0003068512661047,3,2,"doublewell",949,2496
37,3,3.66666666666667,0,0.212413174994398,0.0003068512661047,3,1,"SIS",949,2496
37,3,3.66666666666667,0,0.212413174994398,0.0003068512661047,3,1,"genereg",949,2496
38,4,6.25,0,0.243326488706366,0.00075732030198837,3,1,"genereg",949,2496
38,4,6.25,0,0.243326488706366,0.00075732030198837,3,3,"mutualistic",949,2496
38,4,6.25,0,0.243326488706366,0.00075732030198837,3,1,"SIS",949,2496
39,4,9,0.166666666666667,0.255250403877221,0.000550120664307675,4,1,"mutualistic",949,2496
41,2,6.5,0,0.206851407375082,0.000181535388864171,2,1,"genereg",949,2496
42,5,12.2,0,0.269931662870159,0.00146119916090879,4,1,"SIS",949,2496
42,5,12.2,0,0.269931662870159,0.00146119916090879,4,1,"mutualistic",949,2496
43,1,13,0,0.223848878394333,0,1,1,"doublewell",949,2496
43,1,13,0,0.223848878394333,0,1,1,"SIS",949,2496
45,1,2,0,0.166930797675647,0,1,1,"SIS",949,2496
46,2,9,0,0.239696586599241,8.71124841690582e-05,2,1,"genereg",949,2496
46,2,9,0,0.239696586599241,8.71124841690582e-05,2,2,"SIS",949,2496
47,3,13,0,0.256701868399675,0.000512780891595961,3,2,"genereg",949,2496
48,3,9,0,0.244329896907216,0.000947990317965926,3,1,"genereg",949,2496
48,3,9,0,0.244329896907216,0.000947990317965926,3,1,"mutualistic",949,2496
49,3,17.6666666666667,0,0.262895174708819,0.000538089844881784,3,1,"genereg",949,2496
49,3,17.6666666666667,0,0.262895174708819,0.000538089844881784,3,1,"SIS",949,2496
50,1,11,0,0.225231646471846,0,1,1,"genereg",949,2496
50,1,11,0,0.225231646471846,0,1,1,"doublewell",949,2496
51,5,7.4,0,0.2528,0.0011628431235826,4,3,"SIS",949,2496
51,5,7.4,0,0.2528,0.0011628431235826,4,1,"mutualistic",949,2496
51,5,7.4,0,0.2528,0.0011628431235826,4,1,"genereg",949,2496
51,5,7.4,0,0.2528,0.0011628431235826,4,1,"doublewell",949,2496
52,1,5,0,0.212794612794613,0,1,2,"mutualistic",949,2496
53,4,7.5,0,0.245850622406639,0.00102171108743266,3,1,"SIS",949,2496
53,4,7.5,0,0.245850622406639,0.00102171108743266,3,3,"doublewell",949,2496
53,4,7.5,0,0.245850622406639,0.00102171108743266,3,1,"genereg",949,2496
55,1,4,0,0.205239229270405,0,1,1,"SIS",949,2496
56,1,11,0,0.212938005390836,0,1,1,"mutualistic",949,2496
56,1,11,0,0.212938005390836,0,1,1,"SIS",949,2496
56,1,11,0,0.212938005390836,0,1,5,"doublewell",949,2496
56,1,11,0,0.212938005390836,0,1,1,"genereg",949,2496
57,7,10.8571428571429,0.142857142857143,0.268707482993197,0.00348620540863202,4,4,"doublewell",949,2496
