"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
4,4,40.5,0,0.303647416413374,0.00400975268455761,2,1,"genereg",1000,1996
4,4,40.5,0,0.303647416413374,0.00400975268455761,2,2,"SIS",1000,1996
8,12,13.9166666666667,0.0151515151515152,0.306159975482685,0.0150335511431391,2,3,"genereg",1000,1996
15,12,9.66666666666667,0.0303030303030303,0.286739380022962,0.0130901517878991,2,1,"genereg",1000,1996
15,12,9.66666666666667,0.0303030303030303,0.286739380022962,0.0130901517878991,2,2,"mutualistic",1000,1996
16,5,27.2,0.1,0.301721534279674,0.00382535597789626,2,1,"genereg",1000,1996
16,5,27.2,0.1,0.301721534279674,0.00382535597789626,2,1,"SIS",1000,1996
17,5,13,0.1,0.266257995735608,0.0022224064536514,2,2,"SIS",1000,1996
17,5,13,0.1,0.266257995735608,0.0022224064536514,2,2,"mutualistic",1000,1996
19,7,13.8571428571429,0.0476190476190476,0.283887468030691,0.00642156988164357,2,1,"genereg",1000,1996
19,7,13.8571428571429,0.0476190476190476,0.283887468030691,0.00642156988164357,2,5,"doublewell",1000,1996
20,5,16.6,0,0.277422938072758,0.00441178428359412,2,1,"genereg",1000,1996
20,5,16.6,0,0.277422938072758,0.00441178428359412,2,2,"mutualistic",1000,1996
20,5,16.6,0,0.277422938072758,0.00441178428359412,2,3,"SIS",1000,1996
21,5,22.4,0.1,0.289565217391304,0.00242471253365595,2,1,"genereg",1000,1996
21,5,22.4,0.1,0.289565217391304,0.00242471253365595,2,1,"doublewell",1000,1996
21,5,22.4,0.1,0.289565217391304,0.00242471253365595,2,2,"SIS",1000,1996
25,5,34.2,0.1,0.305878750765462,0.00640501455727063,2,1,"genereg",1000,1996
27,10,19,0.0666666666666667,0.311118031765805,0.0152920791131843,2,4,"genereg",1000,1996
28,10,13.6,0.0222222222222222,0.297764530551416,0.0140945627773711,2,3,"mutualistic",1000,1996
29,11,11.1818181818182,0.0727272727272727,0.292361720807726,0.0107765805905289,2,3,"genereg",1000,1996
29,11,11.1818181818182,0.0727272727272727,0.292361720807726,0.0107765805905289,2,2,"mutualistic",1000,1996
30,6,16.5,0.133333333333333,0.267541510444563,0.00771834151408822,2,2,"doublewell",1000,1996
31,14,12.2142857142857,0.010989010989011,0.309192200557103,0.0222774380649876,2,1,"genereg",1000,1996
32,3,12.6666666666667,0,0.256878374903574,0.000978128115002035,2,1,"SIS",1000,1996
32,3,12.6666666666667,0,0.256878374903574,0.000978128115002035,2,3,"doublewell",1000,1996
34,10,17,0.0444444444444444,0.308809891808346,0.0128268170078224,2,1,"genereg",1000,1996
