"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
1,5,10,0.3,0.158757961783439,0.00089524342984701,3,2,"genereg",998,1988
2,6,6.83333333333333,0.266666666666667,0.158909786420147,0.00515444991801143,3,2,"doublewell",998,1988
2,6,6.83333333333333,0.266666666666667,0.158909786420147,0.00515444991801143,3,1,"genereg",998,1988
2,6,6.83333333333333,0.266666666666667,0.158909786420147,0.00515444991801143,3,2,"SIS",998,1988
4,3,3.66666666666667,0,0.105224274406332,0.00222504128350793,2,1,"genereg",998,1988
6,7,6.42857142857143,0.19047619047619,0.134912043301759,0.00724122553847534,3,1,"genereg",998,1988
7,2,4.5,0,0.130565741225773,1.84623482227137e-06,2,2,"doublewell",998,1988
7,2,4.5,0,0.130565741225773,1.84623482227137e-06,2,1,"SIS",998,1988
7,2,4.5,0,0.130565741225773,1.84623482227137e-06,2,1,"mutualistic",998,1988
8,9,3.33333333333333,0.0555555555555556,0.144409038238702,0.0361892087116839,2,3,"mutualistic",998,1988
8,9,3.33333333333333,0.0555555555555556,0.144409038238702,0.0361892087116839,2,2,"genereg",998,1988
10,2,3.5,0,0.0985372603281281,5.62961947193907e-05,2,2,"doublewell",998,1988
11,8,5.5,0.178571428571429,0.152539779681763,0.0057714957959841,3,4,"mutualistic",998,1988
11,8,5.5,0.178571428571429,0.152539779681763,0.0057714957959841,3,1,"genereg",998,1988
13,6,7.5,0.4,0.159468969929623,0.00998162767736146,3,4,"mutualistic",998,1988
13,6,7.5,0.4,0.159468969929623,0.00998162767736146,3,3,"SIS",998,1988
14,2,11.5,0,0.150854894840369,0.0113049523808209,2,1,"mutualistic",998,1988
15,5,7.6,0.5,0.143577188940092,0.00125010834399809,3,4,"genereg",998,1988
15,5,7.6,0.5,0.143577188940092,0.00125010834399809,3,1,"SIS",998,1988
17,3,2.66666666666667,0,0.126298454522422,0.00469743413052144,2,1,"SIS",998,1988
17,3,2.66666666666667,0,0.126298454522422,0.00469743413052144,2,1,"mutualistic",998,1988
18,3,5.66666666666667,0,0.146166251282803,0.0202249900775283,2,2,"SIS",998,1988
18,3,5.66666666666667,0,0.146166251282803,0.0202249900775283,2,1,"genereg",998,1988
18,3,5.66666666666667,0,0.146166251282803,0.0202249900775283,2,1,"doublewell",998,1988
