"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
20,127,792.031496062992,0.123359580052493,0.391472058283681,7.78084755904171e-05,94,1,"genereg",69317,1644794
41,119,854.857142857143,0.178464606181456,0.379626485568761,3.74093204425423e-05,90,1,"SIS",69317,1644794
49,369,472.761517615176,0.0548633203723342,0.390858393057521,0.000167764579970622,148,1,"genereg",69317,1644794
72,119,426.361344537815,0.095285571855861,0.360056930924504,8.13977162049243e-05,74,1,"genereg",69317,1644794
80,67,805.358208955224,0.210764360018091,0.367817799758029,3.24653115107423e-05,53,1,"genereg",69317,1644794
81,76,743.986842105263,0.114736842105263,0.370810619961376,3.51533903145441e-05,61,1,"mutualistic",69317,1644794
91,148,1003.41216216216,0.162070233498805,0.401694492898081,2.77346864523113e-05,112,1,"doublewell",69317,1644794
111,33,1615.39393939394,0.314393939393939,0.376410534890035,1.51009721012977e-06,31,1,"SIS",69317,1644794
113,230,330.852173913043,0.0438579836719195,0.36358486409366,2.75181625759259e-05,111,1,"doublewell",69317,1644794
184,184,691.228260869565,0.115823235923022,0.384599592740347,1.47221907554764e-05,121,1,"mutualistic",69317,1644794
210,337,356.786350148368,0.0359262399321746,0.38728349536261,0.000193144165501247,120,1,"doublewell",69317,1644794
265,236,673.203389830509,0.103858636855391,0.397085276291518,0.000175032051825684,131,1,"mutualistic",69317,1644794
274,270,477.551851851852,0.0704116756161366,0.39258730644193,0.000113548372895352,123,1,"SIS",69317,1644794
294,342,409.988304093567,0.0624410488587059,0.381866361097185,0.000127974609768723,150,2,"genereg",69317,1644794
303,227,979.581497797357,0.174691045183424,0.413173188686556,8.60076228863809e-05,148,1,"SIS",69317,1644794
317,102,338.529411764706,0.133178023684721,0.345614008845277,5.01245345672792e-05,73,1,"genereg",69317,1644794
367,245,818.208163265306,0.156540649046504,0.402106948521307,4.53105526497858e-05,144,1,"doublewell",69317,1644794
382,348,308.491379310345,0.0501010301765544,0.367852935245232,0.000118781352040951,129,1,"SIS",69317,1644794
406,222,998.391891891892,0.121560474501651,0.401664232899891,8.31597167535845e-05,143,1,"doublewell",69317,1644794
423,266,598.827067669173,0.105887359909207,0.391403532547319,0.000109487996859379,137,1,"doublewell",69317,1644794
424,68,789.544117647059,0.107111501316945,0.36233050714562,5.40144192923097e-06,61,1,"doublewell",69317,1644794
427,5,3730.8,0.4,0.345700193008793,4.57314361025496e-07,5,1,"mutualistic",69317,1644794
434,19,903.157894736842,0.245614035087719,0.337764350453172,5.44579840318712e-08,19,1,"doublewell",69317,1644794
438,239,630.456066945607,0.132062866987799,0.380716988800826,5.74219607176638e-05,138,1,"SIS",69317,1644794
481,53,1408.07547169811,0.202467343976778,0.370969382020969,2.56255774104837e-06,48,1,"mutualistic",69317,1644794
505,11,286.545454545455,0.127272727272727,0.314606537585215,5.8830208934517e-07,10,1,"SIS",69317,1644794
510,382,678.089005235602,0.0932789160517239,0.41612736681595,0.00022571949737657,155,1,"SIS",69317,1644794
513,156,890.897435897436,0.121422663358147,0.401582786329639,0.000145641125280845,93,1,"doublewell",69317,1644794
532,31,434.41935483871,0.0645161290322581,0.336984370062471,5.06657549770414e-07,29,1,"mutualistic",69317,1644794
542,97,637.958762886598,0.0893470790378007,0.371227660520241,7.44891014186693e-05,60,1,"SIS",69317,1644794
546,27,1213.25925925926,0.176638176638177,0.364611880552736,3.37863942341055e-06,25,1,"genereg",69317,1644794
548,10,1308.4,0.422222222222222,0.337049913690404,2.26069383212945e-07,10,1,"mutualistic",69317,1644794
572,68,619.470588235294,0.0943810359964881,0.357928110751372,6.3389015111049e-06,55,2,"genereg",69317,1644794
605,82,867.878048780488,0.163806082505269,0.375133268750981,8.48985267725632e-06,68,1,"mutualistic",69317,1644794
674,95,657.147368421053,0.11511758118701,0.364680938376308,8.86955755751965e-06,66,1,"doublewell",69317,1644794
689,147,957.809523809524,0.163544870002796,0.3891009520388,1.81827681074555e-05,112,1,"SIS",69317,1644794
699,246,771.772357723577,0.136153973784636,0.403431577967128,6.88931674436467e-05,138,1,"mutualistic",69317,1644794
708,6,1526.33333333333,0.333333333333333,0.33249708592562,4.09835980388205e-06,5,1,"SIS",69317,1644794
764,442,575.309954751131,0.064148736417644,0.409004277917097,0.000215335223200785,158,1,"genereg",69317,1644794
783,133,1116.45112781955,0.148894964684438,0.397668468096336,9.07604391461406e-05,93,1,"genereg",69317,1644794
856,227,1046.21145374449,0.128533000662742,0.412055641421947,9.50307049348169e-05,141,1,"SIS",69317,1644794
887,175,534.708571428571,0.133333333333333,0.377616282237064,6.3668993403163e-05,99,1,"genereg",69317,1644794
898,282,757.014184397163,0.120516897604806,0.404838248091625,9.9557686347087e-05,141,1,"doublewell",69317,1644794
910,202,847.678217821782,0.125954386483424,0.403767627990424,8.13078458453525e-05,125,1,"mutualistic",69317,1644794
917,70,1207.44285714286,0.205797101449275,0.377209403569874,6.79446067010396e-06,61,1,"mutualistic",69317,1644794
921,250,919.636,0.107598393574297,0.411693433431531,0.000123393313236124,136,1,"genereg",69317,1644794
934,327,817.565749235474,0.118721975197463,0.415239920924939,0.000100565979375463,157,1,"doublewell",69317,1644794
947,123,882.837398373984,0.234839397574304,0.380299231347419,8.67863105369875e-06,102,1,"SIS",69317,1644794
953,73,1180.54794520548,0.234779299847793,0.375604866021838,4.03329624635419e-06,65,1,"doublewell",69317,1644794
959,17,1924.52941176471,0.147058823529412,0.362559824253995,2.65073680512665e-06,17,1,"genereg",69317,1644794
959,17,1924.52941176471,0.147058823529412,0.362559824253995,2.65073680512665e-06,17,1,"mutualistic",69317,1644794
1000,138,739.63768115942,0.098381466201206,0.382112655869285,1.56117087525684e-05,93,1,"doublewell",69317,1644794
1002,125,780.064,0.108258064516129,0.380909465585932,1.7576280104159e-05,88,1,"doublewell",69317,1644794
1016,13,1777.69230769231,0.166666666666667,0.351806079308122,1.24546152466649e-06,13,1,"SIS",69317,1644794
1031,157,781.490445859873,0.104115629593337,0.388536067218601,2.52484111465619e-05,105,1,"genereg",69317,1644794
1031,157,781.490445859873,0.104115629593337,0.388536067218601,2.52484111465619e-05,105,1,"SIS",69317,1644794
1040,29,1584.96551724138,0.251231527093596,0.364905557076376,8.11555418109985e-07,28,1,"SIS",69317,1644794
1046,202,803.351485148515,0.0708832077237574,0.41023880685349,0.000153235884362649,113,1,"doublewell",69317,1644794
1047,343,473.02915451895,0.0647707704635739,0.38972663585557,0.00015125561102891,152,1,"genereg",69317,1644794
1096,145,926.206896551724,0.149233716475096,0.391277596202153,8.57198516744421e-05,106,1,"doublewell",69317,1644794
1111,217,1015.98156682028,0.149812254650964,0.410805300713558,2.99671141436285e-05,143,1,"SIS",69317,1644794
1120,180,818.355555555556,0.0741154562383613,0.38723157024424,2.76383824663785e-05,123,1,"mutualistic",69317,1644794
1122,2,48,1,0.27455143185329,0,2,1,"mutualistic",69317,1644794
1129,152,600.782894736842,0.0643952596723597,0.381408298805417,6.04938402157967e-05,96,1,"SIS",69317,1644794
1135,273,912.794871794872,0.144257703081233,0.407455957300478,8.94120085411348e-05,156,1,"SIS",69317,1644794
1152,40,925.8,0.132051282051282,0.360347059404551,1.29325600185526e-05,32,1,"SIS",69317,1644794
1168,109,1231.39449541284,0.163778457356439,0.387953277252604,7.03856334406898e-05,84,1,"doublewell",69317,1644794
