"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
5,809,105.867737948084,0.00232838487804281,0.358079374194352,0.000835747922974569,78,1,"doublewell",89171,3329970
24,295,347.874576271186,0.00334371036550213,0.371281769428067,0.000167412240175438,80,1,"genereg",89171,3329970
32,324,503.354938271605,0.00233153690326033,0.370829365260895,0.000144033975578726,101,1,"mutualistic",89171,3329970
59,92,96.25,0.00143334925943622,0.299667633408724,3.58418952500016e-06,48,1,"doublewell",89171,3329970
61,441,147.895691609977,0.001566687280973,0.350122898359523,0.000140109485043186,80,1,"doublewell",89171,3329970
122,330,328.945454545455,0.0104817168646956,0.380491135243541,0.000307112216845912,84,1,"SIS",89171,3329970
126,422,252.928909952607,0.00371491934122097,0.374764642592966,0.000490945601961616,83,1,"SIS",89171,3329970
131,34,132.352941176471,0,0.29862792574657,1.38387801360133e-06,32,1,"genereg",89171,3329970
162,177,492.632768361582,0.00442989214175655,0.366002823931175,5.60003586132895e-05,83,1,"mutualistic",89171,3329970
172,37,465.216216216216,0.00750750750750751,0.332468326584789,2.54807412813682e-05,31,1,"genereg",89171,3329970
182,57,428.228070175439,0.0012531328320802,0.343783975510645,7.78293393855463e-06,44,1,"doublewell",89171,3329970
184,231,474.601731601732,0.00391492565405609,0.369290533125158,0.000130714520607251,83,1,"SIS",89171,3329970
230,147,173.08843537415,0.000652315720808871,0.318834361312237,1.40234493674012e-05,75,1,"genereg",89171,3329970
232,193,237.839378238342,0.0026986183074266,0.34162656695375,3.6952379648407e-05,88,1,"genereg",89171,3329970
242,25,210.2,0.0133333333333333,0.298469994008509,7.35673805549721e-07,25,1,"mutualistic",89171,3329970
247,80,293.775,0.00189873417721519,0.346163551311167,3.87459235735549e-05,52,1,"doublewell",89171,3329970
251,198,297.212121212121,0.00502486796903041,0.359368073187442,6.78650038815824e-05,75,1,"genereg",89171,3329970
253,18,304.833333333333,0.0065359477124183,0.318753440621135,2.91772197878727e-06,16,1,"genereg",89171,3329970
279,248,247.318548387097,0.00186104218362283,0.361009222597388,0.000157824031979342,75,1,"SIS",89171,3329970
344,142,350.014084507042,0.00379582459294776,0.358151285480755,5.22241171709334e-05,71,1,"mutualistic",89171,3329970
366,73,211.972602739726,0,0.305431104169236,3.74818856877206e-06,64,1,"doublewell",89171,3329970
368,22,161.272727272727,0,0.297709668803419,5.17667112370533e-07,21,1,"SIS",89171,3329970
391,112,311.875,0.0106177606177606,0.342350574359604,1.85926631236186e-05,62,1,"genereg",89171,3329970
401,252,305.349206349206,0.000980206159489028,0.35739049229869,0.000117710363540031,82,1,"SIS",89171,3329970
411,96,277.083333333333,0.00219298245614035,0.349453305639378,3.99204270240231e-05,60,1,"mutualistic",89171,3329970
432,491,164.531568228106,0.00130512490128434,0.350985609471927,0.000247125142770967,79,1,"SIS",89171,3329970
459,30,396.733333333333,0.00689655172413793,0.324868842902944,2.68352490912589e-06,26,1,"SIS",89171,3329970
471,139,261.201438848921,0.00354499009488062,0.349886601740604,3.93447117029412e-05,69,1,"mutualistic",89171,3329970
477,429,244.205128205128,0.00928043918698124,0.37809050936428,0.000398427593227294,83,1,"SIS",89171,3329970
490,20,130.8,0,0.290552561437351,3.53640579676344e-07,20,1,"SIS",89171,3329970
493,389,118.645244215938,0.00371028012614952,0.357306000112197,0.000283343157578558,75,1,"mutualistic",89171,3329970
500,70,394.228571428571,0.0062111801242236,0.347984561770479,4.147127541066e-05,51,1,"genereg",89171,3329970
548,78,346.538461538462,0.0173160173160173,0.346261678613866,1.4252117689799e-05,59,1,"genereg",89171,3329970
599,85,106.152941176471,0,0.301684180611285,4.90871257225452e-06,50,1,"genereg",89171,3329970
666,288,166.732638888889,0.00759775454897406,0.345114522134237,9.21059623847001e-05,75,1,"genereg",89171,3329970
666,288,166.732638888889,0.00759775454897406,0.345114522134237,9.21059623847001e-05,75,1,"doublewell",89171,3329970
672,679,84.4285714285714,0.000147709845730099,0.333841252251004,0.000300833282462357,73,1,"doublewell",89171,3329970
719,112,290.232142857143,0.00225225225225225,0.350771603117096,5.30077173483074e-05,57,1,"doublewell",89171,3329970
