"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
1,29,18.7241379310345,0.330049261083744,0.315830115830116,0.0148093155686358,12,1,"doublewell",410,2765
1,29,18.7241379310345,0.330049261083744,0.315830115830116,0.0148093155686358,12,1,"mutualistic",410,2765
2,13,21.3076923076923,0.782051282051282,0.28383067314365,0.00139836060280535,12,1,"SIS",410,2765
2,13,21.3076923076923,0.782051282051282,0.28383067314365,0.00139836060280535,12,1,"mutualistic",410,2765
2,13,21.3076923076923,0.782051282051282,0.28383067314365,0.00139836060280535,12,3,"doublewell",410,2765
3,10,11.7,0.822222222222222,0.20187561697927,2.88349605284988e-05,7,1,"SIS",410,2765
4,16,19.5,0.6,0.269256089532587,0.00074821432336958,12,2,"mutualistic",410,2765
4,16,19.5,0.6,0.269256089532587,0.00074821432336958,12,1,"SIS",410,2765
4,16,19.5,0.6,0.269256089532587,0.00074821432336958,12,2,"doublewell",410,2765
5,26,17.4615384615385,0.446153846153846,0.294033069734004,0.00673514379082427,12,1,"doublewell",410,2765
5,26,17.4615384615385,0.446153846153846,0.294033069734004,0.00673514379082427,12,1,"genereg",410,2765
6,17,19.5882352941176,0.691176470588235,0.268196721311475,0.00119849093426884,12,1,"mutualistic",410,2765
6,17,19.5882352941176,0.691176470588235,0.268196721311475,0.00119849093426884,12,1,"SIS",410,2765
6,17,19.5882352941176,0.691176470588235,0.268196721311475,0.00119849093426884,12,1,"genereg",410,2765
7,23,19.4347826086957,0.450592885375494,0.310318664643399,0.00941934383351707,12,1,"genereg",410,2765
7,23,19.4347826086957,0.450592885375494,0.310318664643399,0.00941934383351707,12,2,"doublewell",410,2765
8,15,18.4666666666667,0.619047619047619,0.255784865540963,0.000787549489733168,12,3,"genereg",410,2765
9,12,17.25,0.666666666666667,0.246831623415812,0.000199909264114714,11,1,"mutualistic",410,2765
9,12,17.25,0.666666666666667,0.246831623415812,0.000199909264114714,11,1,"SIS",410,2765
9,12,17.25,0.666666666666667,0.246831623415812,0.000199909264114714,11,3,"genereg",410,2765
10,15,19.3333333333333,0.523809523809524,0.269078947368421,0.0013212605507885,12,1,"doublewell",410,2765
10,15,19.3333333333333,0.523809523809524,0.269078947368421,0.0013212605507885,12,1,"SIS",410,2765
11,21,18.5238095238095,0.528571428571429,0.274128686327078,0.00166750703954057,12,1,"genereg",410,2765
11,21,18.5238095238095,0.528571428571429,0.274128686327078,0.00166750703954057,12,1,"SIS",410,2765
11,21,18.5238095238095,0.528571428571429,0.274128686327078,0.00166750703954057,12,1,"doublewell",410,2765
12,19,18.2105263157895,0.532163742690059,0.269433465085639,0.00162395227365496,12,3,"SIS",410,2765
12,19,18.2105263157895,0.532163742690059,0.269433465085639,0.00162395227365496,12,1,"doublewell",410,2765
12,19,18.2105263157895,0.532163742690059,0.269433465085639,0.00162395227365496,12,1,"genereg",410,2765
12,19,18.2105263157895,0.532163742690059,0.269433465085639,0.00162395227365496,12,1,"mutualistic",410,2765
