"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
2,31,39.2903225806452,0.438709677419355,0.258036640165918,0.000327189235213474,18,1,"doublewell",5973,145778
4,24,44.1666666666667,0.416666666666667,0.257914057438998,0.000231135753821012,18,1,"genereg",5973,145778
5,18,45.5,0.562091503267974,0.244864488088893,3.50388036653088e-05,14,1,"doublewell",5973,145778
7,77,34.2467532467532,0.184894053315106,0.278869950968947,0.0068417062941113,26,1,"doublewell",5973,145778
8,20,43.2,0.489473684210526,0.24554911393446,0.000122874866353454,14,2,"genereg",5973,145778
9,21,43.1428571428571,0.504761904761905,0.244944834092121,5.99162341908347e-05,15,1,"genereg",5973,145778
9,21,43.1428571428571,0.504761904761905,0.244944834092121,5.99162341908347e-05,15,1,"mutualistic",5973,145778
10,24,39.5416666666667,0.550724637681159,0.24493478795833,6.03909296502261e-05,15,1,"genereg",5973,145778
12,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"mutualistic",5973,145778
13,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"SIS",5973,145778
15,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"mutualistic",5973,145778
22,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"SIS",5973,145778
22,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"genereg",5973,145778
23,20,80.1,0.973684210526316,0.246919705614818,2.41651221464827e-08,20,1,"genereg",5973,145778
23,20,80.1,0.973684210526316,0.246919705614818,2.41651221464827e-08,20,1,"doublewell",5973,145778
24,55,92.2727272727273,0.767003367003367,0.256166087590615,4.4128998150112e-06,49,1,"doublewell",5973,145778
26,113,94.3805309734513,0.245733249051833,0.297425170576224,0.000657052679040813,49,1,"mutualistic",5973,145778
30,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"mutualistic",5973,145778
30,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"genereg",5973,145778
33,53,93.3962264150943,0.809869375907112,0.256683572595203,3.97623934415112e-06,49,1,"doublewell",5973,145778
34,239,118.225941422594,0.392250624099012,0.285987932190403,0.00594515974884105,111,1,"genereg",5973,145778
34,239,118.225941422594,0.392250624099012,0.285987932190403,0.00594515974884105,111,1,"doublewell",5973,145778
35,113,94.3805309734513,0.245733249051833,0.297425170576224,0.000657052679040813,49,1,"genereg",5973,145778
38,55,92.2727272727273,0.767003367003367,0.256166087590615,4.4128998150112e-06,49,1,"SIS",5973,145778
42,60,97.1,0.674576271186441,0.274953959484346,0.000277616940133535,49,1,"SIS",5973,145778
44,96,119.645833333333,0.899342105263158,0.278129657228018,0.00150474537704452,89,1,"genereg",5973,145778
44,96,119.645833333333,0.899342105263158,0.278129657228018,0.00150474537704452,89,1,"mutualistic",5973,145778
45,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"SIS",5973,145778
46,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"doublewell",5973,145778
46,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"genereg",5973,145778
47,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"SIS",5973,145778
47,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"mutualistic",5973,145778
48,60,97.1,0.674576271186441,0.274953959484346,0.000277616940133535,49,1,"SIS",5973,145778
52,53,93.5094339622642,0.809869375907112,0.256683572595203,3.97623934415112e-06,49,1,"mutualistic",5973,145778
53,126,99.2777777777778,0.579809523809524,0.280731443613971,0.00104919910410787,89,1,"mutualistic",5973,145778
57,94,119.797872340426,0.921757035003432,0.266976619428674,9.96377328255279e-05,89,1,"mutualistic",5973,145778
62,126,99.2777777777778,0.579809523809524,0.280731443613971,0.00104919910410787,89,1,"genereg",5973,145778
66,126,99.2777777777778,0.579809523809524,0.280731443613971,0.00104919910410787,89,1,"doublewell",5973,145778
66,126,99.2777777777778,0.579809523809524,0.280731443613971,0.00104919910410787,89,1,"mutualistic",5973,145778
67,93,121.870967741935,0.959093034128097,0.266964684845776,4.73246565508269e-05,89,2,"mutualistic",5973,145778
74,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"SIS",5973,145778
76,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,2,"SIS",5973,145778
77,72,84,0.680359937402191,0.265965974881981,5.12377776004304e-05,49,1,"mutualistic",5973,145778
77,72,84,0.680359937402191,0.265965974881981,5.12377776004304e-05,49,1,"doublewell",5973,145778
78,155,133.909677419355,0.550565563468789,0.289959215381627,0.000498717450852637,89,1,"doublewell",5973,145778
79,61,96.0327868852459,0.689617486338798,0.282899099952629,0.00021004575990788,49,1,"genereg",5973,145778
79,61,96.0327868852459,0.689617486338798,0.282899099952629,0.00021004575990788,49,1,"mutualistic",5973,145778
84,92,123.130434782609,0.97730530339226,0.266952751329847,5.32126871385426e-06,89,1,"SIS",5973,145778
86,56,91.5,0.73961038961039,0.26116237372633,0.000733633313039631,49,1,"doublewell",5973,145778
90,102,116.970588235294,0.82605319355465,0.278674755016332,0.000149261371863026,89,1,"doublewell",5973,145778
92,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"SIS",5973,145778
95,141,110.787234042553,0.536068895643364,0.282057337174704,0.000858278382719756,89,1,"genereg",5973,145778
100,53,93.5094339622642,0.809869375907112,0.256683572595203,3.97623934415112e-06,49,2,"mutualistic",5973,145778
101,113,94.3805309734513,0.245733249051833,0.297425170576224,0.000657052679040813,49,1,"mutualistic",5973,145778
106,164,131.19512195122,0.523941343707916,0.292702053619566,0.000660803342829096,89,1,"genereg",5973,145778
107,113,94.3805309734513,0.245733249051833,0.297425170576224,0.000657052679040813,49,1,"SIS",5973,145778
107,113,94.3805309734513,0.245733249051833,0.297425170576224,0.000657052679040813,49,1,"doublewell",5973,145778
108,55,92.2727272727273,0.767003367003367,0.256166087590615,4.4128998150112e-06,49,1,"mutualistic",5973,145778
109,113,94.3805309734513,0.245733249051833,0.297425170576224,0.000657052679040813,49,1,"doublewell",5973,145778
110,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"mutualistic",5973,145778
113,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"mutualistic",5973,145778
117,54,92.7407407407407,0.816212438853948,0.256694605630776,3.97729759166247e-06,49,2,"SIS",5973,145778
118,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"SIS",5973,145778
122,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"SIS",5973,145778
122,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"genereg",5973,145778
124,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,2,"mutualistic",5973,145778
125,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,1,"doublewell",5973,145778
125,91,124.32967032967,0.998046398046398,0.266940818880744,1.83725713213834e-07,89,2,"mutualistic",5973,145778
137,138,124.86231884058,0.62392891145668,0.300614114567603,0.00223361613726717,72,1,"doublewell",5973,145778
138,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,2,"mutualistic",5973,145778
139,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"genereg",5973,145778
146,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"mutualistic",5973,145778
146,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"SIS",5973,145778
147,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"mutualistic",5973,145778
155,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,2,"genereg",5973,145778
155,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"mutualistic",5973,145778
159,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"doublewell",5973,145778
160,130,106.261538461538,0.454979129397734,0.292630341042728,0.00217700942290378,70,1,"genereg",5973,145778
163,96,145.5625,0.790131578947368,0.304740521508394,0.000244250909103907,72,1,"genereg",5973,145778
164,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,2,"genereg",5973,145778
172,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"doublewell",5973,145778
174,34,98.4411764705882,0.557932263814617,0.267502799552072,3.16291932073116e-05,24,1,"SIS",5973,145778
176,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"SIS",5973,145778
178,445,69.0696629213483,0.0890980868508958,0.370402530546424,0.0339280492416954,72,1,"doublewell",5973,145778
182,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"genereg",5973,145778
183,112,80.0178571428571,0.197554697554698,0.314995516641173,0.00449921006087116,36,1,"doublewell",5973,145778
184,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"mutualistic",5973,145778
187,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"mutualistic",5973,145778
187,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"genereg",5973,145778
189,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"genereg",5973,145778
189,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"mutualistic",5973,145778
191,110,112.672727272727,0.523102585487907,0.296494886307219,0.00105115460997297,70,1,"mutualistic",5973,145778
192,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"genereg",5973,145778
194,134,124.313432835821,0.66120525193581,0.297766254487435,0.000204671314586106,72,1,"genereg",5973,145778
207,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"genereg",5973,145778
208,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"SIS",5973,145778
215,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"SIS",5973,145778
219,110,158.663636363636,0.957130942452043,0.277819129140305,2.61223767845956e-07,104,1,"doublewell",5973,145778
220,150,126.82,0.580044742729307,0.280955965374482,0.000845875709521555,104,1,"doublewell",5973,145778
223,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"mutualistic",5973,145778
226,604,88.8360927152318,0.11028741502202,0.375928490494775,0.059827891972799,105,1,"SIS",5973,145778
227,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"genereg",5973,145778
228,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"doublewell",5973,145778
230,109,158.596330275229,0.957526333673123,0.277806205517049,2.54941445915503e-07,104,1,"genereg",5973,145778
232,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"genereg",5973,145778
239,110,158.663636363636,0.957130942452043,0.277819129140305,2.61223767845956e-07,104,2,"genereg",5973,145778
240,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"mutualistic",5973,145778
241,110,158.663636363636,0.957130942452043,0.277819129140305,2.61223767845956e-07,104,1,"genereg",5973,145778
243,110,158.663636363636,0.957130942452043,0.277819129140305,2.61223767845956e-07,104,1,"genereg",5973,145778
246,165,147.509090909091,0.798743532889874,0.289439247806911,5.91902561701526e-05,105,1,"SIS",5973,145778
248,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"mutualistic",5973,145778
250,165,147.509090909091,0.798743532889874,0.289439247806911,5.91902561701526e-05,105,1,"genereg",5973,145778
251,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"doublewell",5973,145778
254,110,158.663636363636,0.957130942452043,0.277819129140305,2.61223767845956e-07,104,1,"genereg",5973,145778
255,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"SIS",5973,145778
258,165,147.509090909091,0.798743532889874,0.289439247806911,5.91902561701526e-05,105,1,"genereg",5973,145778
260,110,158.663636363636,0.957130942452043,0.277819129140305,2.61223767845956e-07,104,1,"doublewell",5973,145778
265,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"SIS",5973,145778
267,170,143.717647058824,0.753985381134702,0.290255164034022,0.000394730038449718,105,1,"mutualistic",5973,145778
269,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"SIS",5973,145778
273,165,147.509090909091,0.798743532889874,0.289439247806911,5.91902561701526e-05,105,1,"mutualistic",5973,145778
278,110,158.663636363636,0.957130942452043,0.277819129140305,2.61223767845956e-07,104,1,"SIS",5973,145778
278,110,158.663636363636,0.957130942452043,0.277819129140305,2.61223767845956e-07,104,1,"mutualistic",5973,145778
282,165,147.509090909091,0.798743532889874,0.289439247806911,5.91902561701526e-05,105,1,"genereg",5973,145778
284,165,147.509090909091,0.798743532889874,0.289439247806911,5.91902561701526e-05,105,1,"genereg",5973,145778
285,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"genereg",5973,145778
288,110,158.663636363636,0.957130942452043,0.277819129140305,2.61223767845956e-07,104,1,"doublewell",5973,145778
289,197,124.502538071066,0.408525846886978,0.284299723888413,0.00207329424182682,104,1,"SIS",5973,145778
290,110,158.663636363636,0.957130942452043,0.277819129140305,2.61223767845956e-07,104,1,"mutualistic",5973,145778
294,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"genereg",5973,145778
298,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"SIS",5973,145778
299,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"doublewell",5973,145778
300,165,147.509090909091,0.798743532889874,0.289439247806911,5.91902561701526e-05,105,1,"genereg",5973,145778
302,160,150.30625,0.827594339622642,0.289369124915205,5.32414616696662e-05,105,1,"genereg",5973,145778
306,41,117.048780487805,1,0.233810977997025,0,41,1,"SIS",5973,145778
308,89,82.1573033707865,0.797752808988764,0.224393176523634,5.45290621384164e-05,73,1,"SIS",5973,145778
309,87,85.1724137931034,0.880780539962577,0.230392345974307,0.000110223528679529,73,2,"mutualistic",5973,145778
311,87,85.1724137931034,0.880780539962577,0.230392345974307,0.000110223528679529,73,1,"mutualistic",5973,145778
312,87,85.1724137931034,0.880780539962577,0.230392345974307,0.000110223528679529,73,1,"SIS",5973,145778
313,96,78.6979166666667,0.73530701754386,0.222935642825146,1.1708170784267e-05,73,1,"genereg",5973,145778
315,54,68.5,0.712089447938504,0.220947870805431,1.46854190283538e-06,44,1,"doublewell",5973,145778
316,87,85.1724137931034,0.880780539962577,0.230392345974307,0.000110223528679529,73,1,"mutualistic",5973,145778
318,87,85.1724137931034,0.880780539962577,0.230392345974307,0.000110223528679529,73,1,"mutualistic",5973,145778
320,87,85.1724137931034,0.880780539962577,0.230392345974307,0.000110223528679529,73,1,"SIS",5973,145778
