"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
1,3,570.666666666667,0.333333333333333,0.322633703832926,7.59136622740565e-05,2,1,"mutualistic",6474,12572
4,3,193,0.666666666666667,0.300566493313522,3.18604301446317e-05,3,1,"doublewell",6474,12572
4,3,193,0.666666666666667,0.300566493313522,3.18604301446317e-05,3,1,"SIS",6474,12572
7,2,206,0,0.29409359382099,0.000183112771468706,2,1,"mutualistic",6474,12572
12,1,1458,0,0.320477274977721,0,1,1,"SIS",6474,12572
16,2,392.5,1,0.302180103636618,0,2,1,"doublewell",6474,12572
18,2,751.5,0,0.322184062515554,0.000109429430111075,2,1,"mutualistic",6474,12572
18,2,751.5,0,0.322184062515554,0.000109429430111075,2,1,"genereg",6474,12572
18,2,751.5,0,0.322184062515554,0.000109429430111075,2,2,"SIS",6474,12572
20,1,1458,0,0.320477274977721,0,1,1,"genereg",6474,12572
22,3,721.666666666667,0.666666666666667,0.335806183855572,8.72035455605677e-06,3,1,"mutualistic",6474,12572
24,1,286,0,0.293679960074407,0,1,1,"genereg",6474,12572
25,2,16.5,0,0.271234024722397,2.61541336911559e-07,2,1,"mutualistic",6474,12572
27,2,43.5,0,0.262820252547809,7.18897534936763e-06,2,1,"genereg",6474,12572
28,2,128,0,0.277763474081703,6.82279601014407e-05,2,1,"mutualistic",6474,12572
31,2,518,1,0.312463796099633,0,2,1,"SIS",6474,12572
32,3,56,0.666666666666667,0.289645605870771,6.08840883752912e-07,3,1,"genereg",6474,12572
34,5,416,0.8,0.333625399443356,1.83186579793335e-06,5,1,"mutualistic",6474,12572
35,2,27.5,0,0.265558974358974,4.33929141929303e-07,2,1,"SIS",6474,12572
36,3,50.6666666666667,0,0.27856435856608,1.71446485779696e-06,3,1,"SIS",6474,12572
37,3,780.333333333333,1,0.335319104848736,0,3,1,"mutualistic",6474,12572
42,1,25,0,0.270802828096892,0,1,1,"doublewell",6474,12572
42,1,25,0,0.270802828096892,0,1,1,"genereg",6474,12572
45,2,55,1,0.277846933081513,0,2,1,"SIS",6474,12572
46,1,140,0,0.289321950565414,0,1,1,"genereg",6474,12572
47,3,632.333333333333,0.333333333333333,0.330069858752741,0.000140324205066491,3,1,"genereg",6474,12572
50,1,1458,0,0.320477274977721,0,1,1,"SIS",6474,12572
56,1,5,0,0.245050160893432,0,1,1,"doublewell",6474,12572
56,1,5,0,0.245050160893432,0,1,1,"SIS",6474,12572
57,2,157.5,1,0.294026799909153,0,2,1,"mutualistic",6474,12572
58,4,189.25,0.166666666666667,0.302448369311279,3.9065170218567e-05,2,1,"mutualistic",6474,12572
64,1,378,0,0.291931628557254,0,1,1,"genereg",6474,12572
65,1,133,0,0.274140267660512,0,1,1,"genereg",6474,12572
66,1,401,0,0.288406701122794,0,1,1,"doublewell",6474,12572
70,4,825,1,0.349193504882128,0,4,1,"mutualistic",6474,12572
75,2,91,0,0.286301915166527,0.000109874781953303,2,1,"SIS",6474,12572
75,2,91,0,0.286301915166527,0.000109874781953303,2,1,"genereg",6474,12572
77,2,795.5,1,0.322392668592489,0,2,1,"SIS",6474,12572
78,2,127.5,0,0.277727721285451,3.87339472471483e-06,2,1,"doublewell",6474,12572
78,2,127.5,0,0.277727721285451,3.87339472471483e-06,2,1,"SIS",6474,12572
79,2,1074.5,1,0.335649468498833,0,2,1,"SIS",6474,12572
80,2,42,0,0.271302233957836,1.41814779284848e-06,2,1,"SIS",6474,12572
81,2,872,1,0.330137195899424,0,2,1,"doublewell",6474,12572
82,8,312.625,0.178571428571429,0.338422125790767,0.000739726741394131,4,1,"genereg",6474,12572
83,17,14.4705882352941,0.0514705882352941,0.295408908360716,0.00221959364847393,4,2,"genereg",6474,12572
84,1,43,0,0.251495842722822,0,1,1,"SIS",6474,12572
86,2,38,0,0.262479218198775,2.14163836573715e-06,2,2,"doublewell",6474,12572
89,3,160,0.333333333333333,0.298487503458452,4.26713657715626e-05,3,1,"SIS",6474,12572
90,3,169.333333333333,0.333333333333333,0.295489820140601,0.000239869970134811,3,1,"SIS",6474,12572
91,2,918,1,0.327067859127886,0,2,1,"doublewell",6474,12572
93,3,482,0.333333333333333,0.320286986640277,1.89131716649921e-05,3,1,"genereg",6474,12572
95,3,490.333333333333,0.333333333333333,0.320588380961815,8.63372042502385e-05,3,1,"SIS",6474,12572
99,2,82.5,1,0.278948502477914,0,2,1,"mutualistic",6474,12572
102,13,189.769230769231,0.0641025641025641,0.339237985430533,0.00105539424260999,5,2,"genereg",6474,12572
104,8,88.25,0.321428571428571,0.305503114970738,0.000455454021335705,5,1,"genereg",6474,12572
109,2,38,0,0.263483534823137,2.43179507264097e-06,2,1,"mutualistic",6474,12572
111,1,378,0,0.291931628557254,0,1,1,"doublewell",6474,12572
111,1,378,0,0.291931628557254,0,1,1,"genereg",6474,12572
113,2,1104,1,0.333350499536513,0,2,1,"doublewell",6474,12572
114,1,102,0,0.27714505908546,0,1,1,"mutualistic",6474,12572
114,1,102,0,0.27714505908546,0,1,1,"genereg",6474,12572
115,12,95.8333333333333,0.106060606060606,0.318302517702596,0.00185563408711241,4,1,"genereg",6474,12572
115,12,95.8333333333333,0.106060606060606,0.318302517702596,0.00185563408711241,4,1,"mutualistic",6474,12572
115,12,95.8333333333333,0.106060606060606,0.318302517702596,0.00185563408711241,4,1,"doublewell",6474,12572
117,2,872,1,0.330137195899424,0,2,1,"genereg",6474,12572
120,3,811.666666666667,1,0.343468109943755,0,3,1,"mutualistic",6474,12572
120,3,811.666666666667,1,0.343468109943755,0,3,1,"SIS",6474,12572
121,2,203,0,0.28848382208753,4.06019205783492e-06,2,1,"genereg",6474,12572
128,3,17.6666666666667,0,0.272535893225548,1.77670598239007e-06,3,1,"genereg",6474,12572
131,2,22,1,0.251476301476301,0,2,1,"SIS",6474,12572
132,2,10,0,0.239288750877971,5.85388004308128e-08,2,1,"genereg",6474,12572
132,2,10,0,0.239288750877971,5.85388004308128e-08,2,1,"SIS",6474,12572
133,1,43,0,0.251495842722822,0,1,1,"doublewell",6474,12572
133,1,43,0,0.251495842722822,0,1,1,"genereg",6474,12572
135,2,918,1,0.327067859127886,0,2,1,"SIS",6474,12572
139,1,1458,0,0.320477274977721,0,1,1,"mutualistic",6474,12572
140,1,87,0,0.238856088560886,0,1,1,"genereg",6474,12572
140,1,87,0,0.238856088560886,0,1,1,"mutualistic",6474,12572
140,1,87,0,0.238856088560886,0,1,1,"doublewell",6474,12572
141,1,1458,0,0.320477274977721,0,1,1,"doublewell",6474,12572
141,1,1458,0,0.320477274977721,0,1,1,"mutualistic",6474,12572
144,2,795.5,1,0.322392668592489,0,2,1,"SIS",6474,12572
145,2,389.5,1,0.301827846684696,0,2,1,"mutualistic",6474,12572
149,2,1104,1,0.333350499536513,0,2,1,"SIS",6474,12572
151,1,5,0,0.231360354564301,0,1,1,"mutualistic",6474,12572
152,8,28,0.0357142857142857,0.274314531508243,0.000304114539263551,5,1,"mutualistic",6474,12572
153,1,252,0,0.277204402381054,0,1,1,"genereg",6474,12572
153,1,252,0,0.277204402381054,0,1,1,"doublewell",6474,12572
153,1,252,0,0.277204402381054,0,1,1,"SIS",6474,12572
155,1,1458,0,0.320477274977721,0,1,1,"SIS",6474,12572
155,1,1458,0,0.320477274977721,0,1,1,"genereg",6474,12572
160,2,9,1,0.26361229892079,0,2,1,"genereg",6474,12572
162,1,401,0,0.288406701122794,0,1,1,"genereg",6474,12572
164,3,252.333333333333,0.333333333333333,0.302434238190908,0.000201695101308661,2,1,"genereg",6474,12572
164,3,252.333333333333,0.333333333333333,0.302434238190908,0.000201695101308661,2,1,"mutualistic",6474,12572
164,3,252.333333333333,0.333333333333333,0.302434238190908,0.000201695101308661,2,1,"SIS",6474,12572
166,3,133.666666666667,0.333333333333333,0.300148381711954,0.000118474258558578,3,1,"genereg",6474,12572
167,4,709.5,1,0.339772190436198,0,4,1,"genereg",6474,12572
167,4,709.5,1,0.339772190436198,0,4,2,"SIS",6474,12572
167,4,709.5,1,0.339772190436198,0,4,1,"doublewell",6474,12572
170,2,732,0,0.320620139680024,3.94699801563579e-05,2,1,"SIS",6474,12572
171,1,69,0,0.269472544856584,0,1,1,"mutualistic",6474,12572
173,2,114.5,0,0.276671225850573,2.60581465203546e-05,2,1,"genereg",6474,12572
174,3,11,0,0.264322757156274,0.000309853685479328,2,1,"mutualistic",6474,12572
174,3,11,0,0.264322757156274,0.000309853685479328,2,2,"genereg",6474,12572
176,1,43,0,0.251495842722822,0,1,2,"SIS",6474,12572
177,2,214.5,0,0.29034717861308,1.8664265464478e-05,2,1,"SIS",6474,12572
177,2,214.5,0,0.29034717861308,1.8664265464478e-05,2,1,"mutualistic",6474,12572
