"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
40,38,158,0.0597439544807966,0.379677387562009,0.000466366143603589,14,1,"doublewell",11558,43050
40,38,158,0.0597439544807966,0.379677387562009,0.000466366143603589,14,1,"mutualistic",11558,43050
43,19,662.263157894737,0.327485380116959,0.417370892018779,0.000181060152681237,13,2,"doublewell",11558,43050
46,13,667.307692307692,0.423076923076923,0.392307953426797,3.65626694320933e-05,11,1,"mutualistic",11558,43050
63,1,2170,0,0.350392626504563,0,1,1,"mutualistic",11558,43050
74,39,352.435897435897,0.147098515519568,0.42094336186487,0.000942904303105208,15,6,"genereg",11558,43050
90,35,287.142857142857,0.132773109243697,0.40020084493386,0.000843384635702993,15,1,"genereg",11558,43050
99,1,2170,0,0.350392626504563,0,1,1,"SIS",11558,43050
100,9,589.888888888889,0.194444444444444,0.369835834746712,8.32902486884143e-05,6,1,"genereg",11558,43050
105,31,450.935483870968,0.253763440860215,0.421973126916898,0.000185243225005835,18,1,"genereg",11558,43050
110,23,522.478260869565,0.411067193675889,0.403062114184076,0.000229660596643383,20,1,"mutualistic",11558,43050
113,26,391.384615384615,0.203076923076923,0.40808615819209,0.000350934000025581,11,1,"mutualistic",11558,43050
121,13,714.769230769231,0.615384615384615,0.396697902721999,8.29301517414343e-06,11,1,"genereg",11558,43050
124,14,714,0.56043956043956,0.400381084358219,1.96008327922661e-05,13,1,"SIS",11558,43050
129,20,684.9,0.410526315789474,0.419979649683843,0.000104668249672981,14,1,"doublewell",11558,43050
129,20,684.9,0.410526315789474,0.419979649683843,0.000104668249672981,14,1,"SIS",11558,43050
135,25,547.28,0.273333333333333,0.420208704504963,0.000207380219451894,15,1,"doublewell",11558,43050
140,5,873.8,1,0.361993359644177,0,5,1,"mutualistic",11558,43050
145,8,814.875,0.5,0.384310986964618,4.79230275125757e-06,8,1,"doublewell",11558,43050
148,29,587.862068965517,0.307881773399015,0.431827523072899,0.000512460328935753,18,1,"mutualistic",11558,43050
153,12,611.416666666667,0.454545454545455,0.387104337631887,6.41346624170437e-06,11,1,"genereg",11558,43050
157,47,305.787234042553,0.157261794634598,0.421788321167883,0.00102653581722395,20,4,"genereg",11558,43050
158,15,735.533333333333,0.561904761904762,0.404260528893242,0.000189813297174202,12,1,"SIS",11558,43050
163,51,292.529411764706,0.130196078431373,0.416528508613854,0.00093793174300832,23,9,"genereg",11558,43050
165,12,930.583333333333,0.560606060606061,0.408042933305088,0.000179030141732982,10,1,"genereg",11558,43050
165,12,930.583333333333,0.560606060606061,0.408042933305088,0.000179030141732982,10,2,"SIS",11558,43050
172,15,754.266666666667,0.476190476190476,0.411588731792443,4.47352743969024e-05,13,2,"doublewell",11558,43050
175,30,455.633333333333,0.186206896551724,0.420682877111241,0.000715595180090357,15,1,"genereg",11558,43050
186,4,751.5,0.666666666666667,0.356367560900401,9.09059529035306e-07,4,1,"genereg",11558,43050
194,21,520.714285714286,0.366666666666667,0.404105038637715,0.000110842041518644,16,2,"mutualistic",11558,43050
194,21,520.714285714286,0.366666666666667,0.404105038637715,0.000110842041518644,16,1,"SIS",11558,43050
200,15,766.2,0.59047619047619,0.405537230682855,2.49914639873598e-05,15,1,"mutualistic",11558,43050
200,15,766.2,0.59047619047619,0.405537230682855,2.49914639873598e-05,15,2,"SIS",11558,43050
205,6,1004.33333333333,0.533333333333333,0.380176979505905,1.62917672974509e-05,5,1,"SIS",11558,43050
205,6,1004.33333333333,0.533333333333333,0.380176979505905,1.62917672974509e-05,5,1,"genereg",11558,43050
219,26,199.038461538462,0.196923076923077,0.363610621696451,4.75847715420086e-05,18,1,"mutualistic",11558,43050
222,1,2170,0,0.350392626504563,0,1,1,"SIS",11558,43050
226,27,471.518518518519,0.301994301994302,0.413429205122702,0.000248700990376095,18,1,"SIS",11558,43050
232,3,981.333333333333,0.333333333333333,0.35613694493236,1.16597968294356e-05,2,1,"mutualistic",11558,43050
232,3,981.333333333333,0.333333333333333,0.35613694493236,1.16597968294356e-05,2,1,"doublewell",11558,43050
235,4,1036.75,0.333333333333333,0.364263876193778,4.92980630639864e-06,4,1,"doublewell",11558,43050
236,6,1131.16666666667,0.733333333333333,0.383724018859154,8.34240699780037e-07,6,1,"genereg",11558,43050
243,19,497.421052631579,0.327485380116959,0.396657056562328,0.000265304903540456,12,1,"doublewell",11558,43050
246,13,922.153846153846,0.628205128205128,0.412014260249554,2.76891908074628e-05,12,1,"SIS",11558,43050
247,18,807.944444444444,0.450980392156863,0.425876110107971,0.000276004755175147,15,1,"doublewell",11558,43050
247,18,807.944444444444,0.450980392156863,0.425876110107971,0.000276004755175147,15,1,"mutualistic",11558,43050
248,5,482,0.2,0.351426138782461,9.18333030057835e-06,4,1,"doublewell",11558,43050
249,13,1058.15384615385,0.653846153846154,0.423597111754572,1.91115123851327e-05,12,1,"SIS",11558,43050
249,13,1058.15384615385,0.653846153846154,0.423597111754572,1.91115123851327e-05,12,1,"doublewell",11558,43050
253,16,625.75,0.416666666666667,0.405508771929825,4.32290641010549e-05,12,1,"doublewell",11558,43050
255,42,301.47619047619,0.13588850174216,0.416618601297765,0.000867759636483379,18,1,"genereg",11558,43050
257,8,589.625,0.714285714285714,0.365646850381245,1.42159422245862e-06,8,1,"doublewell",11558,43050
258,44,339.363636363636,0.143763213530655,0.424499540863177,0.000808999459259262,18,7,"genereg",11558,43050
260,22,537.727272727273,0.458874458874459,0.410331972306054,3.77064557689197e-05,17,1,"mutualistic",11558,43050
262,16,856.5625,0.533333333333333,0.419202727701404,5.95393882599305e-05,14,1,"SIS",11558,43050
262,16,856.5625,0.533333333333333,0.419202727701404,5.95393882599305e-05,14,1,"mutualistic",11558,43050
263,22,713.363636363636,0.415584415584416,0.430123934645874,0.000254524297328659,15,1,"SIS",11558,43050
264,29,265.413793103448,0.182266009852217,0.379129350785684,0.000438960108767211,17,1,"mutualistic",11558,43050
267,22,537.409090909091,0.203463203463203,0.414839010732618,0.000387623428231987,13,1,"mutualistic",11558,43050
268,23,587.217391304348,0.387351778656127,0.415584882591967,0.000113691099653558,16,1,"SIS",11558,43050
