"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
13,58,100.655172413793,0.169993950393224,0.33894315154769,5.98556078418995e-05,33,1,"SIS",16415,440122
16,105,149.380952380952,0.589194139194139,0.345747145806125,0.000119440141869498,73,1,"doublewell",16415,440122
18,295,155.08813559322,0.263553557016027,0.378037264791911,0.000539398679953385,94,1,"SIS",16415,440122
19,158,170.721518987342,0.503990969926631,0.358055931242092,0.00014782817483681,73,1,"mutualistic",16415,440122
25,189,138.280423280423,0.318586063266914,0.363045209236486,0.000456886979144066,73,1,"mutualistic",16415,440122
26,210,170.219047619048,0.300022784233311,0.378412025082995,0.000450088709786568,73,1,"mutualistic",16415,440122
30,124,165.217741935484,0.435877261998426,0.366457547275122,0.000202975546749769,73,1,"doublewell",16415,440122
30,124,165.217741935484,0.435877261998426,0.366457547275122,0.000202975546749769,73,1,"genereg",16415,440122
32,142,171.330985915493,0.505444011587254,0.355266005800615,0.000131723448853213,73,1,"SIS",16415,440122
45,317,159.299684542587,0.232839516032424,0.388294852384557,0.00101252455452345,94,2,"SIS",16415,440122
46,182,149.247252747253,0.308117297067573,0.366367572876211,0.000531787006380375,73,1,"mutualistic",16415,440122
67,87,153.931034482759,0.854049719326383,0.331201194535806,3.02909436224973e-06,73,1,"SIS",16415,440122
77,105,161.609523809524,0.594139194139194,0.349464540441568,7.21368902107069e-05,73,1,"doublewell",16415,440122
81,248,139.104838709677,0.25225284053807,0.372935269125031,0.000684396454830738,73,1,"SIS",16415,440122
92,71,109.591549295775,0.0768611670020121,0.347813188676047,0.000315779335704596,37,1,"genereg",16415,440122
93,33,200.909090909091,0.0946969696969697,0.351786364902805,4.83952743860225e-05,27,1,"doublewell",16415,440122
93,33,200.909090909091,0.0946969696969697,0.351786364902805,4.83952743860225e-05,27,1,"SIS",16415,440122
95,124,137.241935483871,0.400865460267506,0.351537736657243,0.000215291713759488,70,1,"doublewell",16415,440122
96,163,137.901840490798,0.416571991214118,0.347503916670195,0.000137534471257362,73,1,"doublewell",16415,440122
100,248,161.342741935484,0.341321666449001,0.373656893097796,0.000337846277650453,94,1,"SIS",16415,440122
105,58,98.2586206896552,0.0266182698124622,0.34600223444845,0.000214533928171669,31,1,"SIS",16415,440122
105,58,98.2586206896552,0.0266182698124622,0.34600223444845,0.000214533928171669,31,1,"genereg",16415,440122
127,193,167.580310880829,0.262251727115717,0.372935269125031,0.000563425931580076,73,1,"doublewell",16415,440122
132,164,154.914634146341,0.468651803082448,0.347378891452033,0.000103048428323205,73,1,"doublewell",16415,440122
142,213,184.633802816901,0.380237399238196,0.376502431415726,0.000202871138246262,108,1,"doublewell",16415,440122
145,193,214.523316062176,0.392541018998273,0.381703176596437,0.000394485996227368,108,1,"doublewell",16415,440122
151,8,110.5,0,0.304758721847788,2.45531753759552e-06,8,1,"SIS",16415,440122
151,8,110.5,0,0.304758721847788,2.45531753759552e-06,8,1,"mutualistic",16415,440122
156,122,234.22131147541,0.671047283565912,0.371172719460902,9.84651026989884e-05,98,1,"mutualistic",16415,440122
182,380,186.336842105263,0.141910845715873,0.407953274512241,0.00454547653540632,108,1,"SIS",16415,440122
184,262,184.270992366412,0.267234067444649,0.392501016284464,0.000559980323208268,108,1,"SIS",16415,440122
198,333,219.576576576577,0.262165780238069,0.393592787089658,0.00148094497340642,112,1,"SIS",16415,440122
207,26,80.8076923076923,0.523076923076923,0.304877595750214,1.89780510462405e-05,21,1,"genereg",16415,440122
212,164,209.213414634146,0.476881639982044,0.377073282793476,0.000356282807288951,108,1,"doublewell",16415,440122
221,162,209.438271604938,0.571275208956368,0.370778648715806,8.10324514481071e-05,108,1,"mutualistic",16415,440122
229,249,213.277108433735,0.506639461070087,0.36675231817674,0.00010510261154295,112,1,"genereg",16415,440122
231,168,203.732142857143,0.557955517536356,0.369784626475624,7.79278838253997e-05,108,1,"genereg",16415,440122
232,206,203.427184466019,0.327634383139948,0.388441878076486,0.000590435833836335,108,1,"SIS",16415,440122
237,27,186.333333333333,0.606837606837607,0.331575864089045,6.60271823026427e-06,26,1,"genereg",16415,440122
240,684,106.982456140351,0.0521777846275034,0.407355933885938,0.00688832288967836,108,1,"SIS",16415,440122
244,72,130.791666666667,0.447965571205008,0.340355824658898,0.000117230140082257,46,1,"genereg",16415,440122
256,22,97.9545454545455,0.714285714285714,0.304255950174242,6.27009265674108e-06,21,1,"genereg",16415,440122
258,112,254.696428571429,0.971846846846847,0.365397030342156,2.28741921312693e-06,108,1,"doublewell",16415,440122
272,168,203.517857142857,0.52730253778158,0.375743979489058,0.00022260854412389,108,1,"mutualistic",16415,440122
277,212,200.787735849057,0.306939103997139,0.388019478984445,0.00141533589772305,108,1,"mutualistic",16415,440122
278,139,228.870503597122,0.64456261078094,0.373631376476748,0.000168076423003458,108,1,"mutualistic",16415,440122
291,122,247.311475409836,0.818317301178702,0.370912706483176,4.54273324585485e-05,108,1,"doublewell",16415,440122
305,62,189.983870967742,0.274986779481756,0.354697899559167,3.78689861349925e-05,45,1,"SIS",16415,440122
310,33,132.151515151515,0.424242424242424,0.333306258376315,1.47020977371985e-05,31,1,"doublewell",16415,440122
312,27,182.407407407407,0.193732193732194,0.336517959652288,1.07703369114952e-05,24,1,"genereg",16415,440122
313,185,176.248648648649,0.251938895417156,0.36504759363046,0.000639292481484016,70,1,"doublewell",16415,440122
314,281,229.889679715302,0.253279105236401,0.394463002571435,0.000537831090667295,95,1,"genereg",16415,440122
314,281,229.889679715302,0.253279105236401,0.394463002571435,0.000537831090667295,95,2,"SIS",16415,440122
316,66,187.484848484848,0.159440559440559,0.358024691358025,9.08645113514343e-05,42,1,"SIS",16415,440122
324,91,202.967032967033,0.177045177045177,0.370285147085364,0.000236054269885375,54,1,"mutualistic",16415,440122
335,128,236.0078125,0.418922244094488,0.368481311033786,0.000206728439390011,70,1,"SIS",16415,440122
336,156,107.935897435897,0.0941273779983457,0.366367572876211,0.00136331830346304,52,1,"genereg",16415,440122
343,132,167.371212121212,0.0957668285912561,0.384573932194653,0.000355079221992046,55,1,"doublewell",16415,440122
350,254,229.535433070866,0.127789362298092,0.398185434961914,0.00166671013357095,95,1,"SIS",16415,440122
354,2,85.5,1,0.273794829024187,0,2,1,"genereg",16415,440122
361,88,118.795454545455,0.21264367816092,0.360572909801854,0.000109585911493481,43,1,"mutualistic",16415,440122
378,34,129.764705882353,0.105169340463458,0.338488822898622,8.64537525169221e-05,23,1,"doublewell",16415,440122
392,120,251.4,0.129411764705882,0.391210048382868,0.000462391283242847,67,1,"mutualistic",16415,440122
395,235,183.191489361702,0.0751409347154028,0.401192774912619,0.00163457296994017,74,1,"SIS",16415,440122
396,129,148.418604651163,0.173812984496124,0.374748858447489,0.000375320637504815,51,1,"SIS",16415,440122
397,160,206.0125,0.105267295597484,0.38984419532586,0.000694039430337619,68,1,"genereg",16415,440122
399,36,99.8333333333333,0.711111111111111,0.319208105637774,9.54767405479447e-05,31,1,"mutualistic",16415,440122
