"v","k","knn","lcl","cc","bc","kcore","Freq","dynamics","N","M"
23,99,81.8080808080808,0.0305091733663162,0.34042208747866,0.000451394341434974,34,1,"doublewell",23132,297094
30,1,51,0,0.245763342151957,0,1,1,"mutualistic",23132,297094
38,2,57.5,0,0.266458546924858,4.98934268549182e-08,2,1,"mutualistic",23132,297094
39,51,113.509803921569,0.047843137254902,0.336157535241971,0.000330795615403739,32,1,"doublewell",23132,297094
40,41,124.390243902439,0.0841463414634146,0.328020193712155,9.61894005000497e-05,31,1,"mutualistic",23132,297094
41,2,43.5,0,0.259316143497758,4.90536894006128e-08,2,1,"doublewell",23132,297094
44,2,47,0,0.256273612603729,1.844161266517e-07,2,1,"doublewell",23132,297094
44,2,47,0,0.256273612603729,1.844161266517e-07,2,1,"mutualistic",23132,297094
52,38,124.5,0.125177809388336,0.325761203278596,5.38751133969507e-05,29,1,"genereg",23132,297094
53,64,102,0.0342261904761905,0.338509044078909,0.000506089314786533,34,1,"genereg",23132,297094
70,1,41,0,0.25192776858064,0,1,1,"SIS",23132,297094
71,84,112.095238095238,0.0487664945496271,0.346750014990706,0.000255773527933633,34,1,"mutualistic",23132,297094
75,38,131.184210526316,0.0483641536273115,0.33174614557189,0.000364390769034389,26,1,"genereg",23132,297094
82,43,143.953488372093,0.0786267995570321,0.333246891703044,0.000114191751247869,32,1,"doublewell",23132,297094
88,50,110.46,0.0269387755102041,0.333174891251116,0.000388704067829451,32,1,"SIS",23132,297094
90,41,100.707317073171,0.05,0.323126353286303,0.000153691318742405,26,1,"doublewell",23132,297094
95,67,148.328358208955,0.0827679782903663,0.347056970097076,0.00020844189479765,34,1,"genereg",23132,297094
109,1,42,0,0.250718087124291,0,1,1,"genereg",23132,297094
114,35,92.4285714285714,0.0571428571428571,0.314497817781343,6.09930825687206e-05,28,1,"mutualistic",23132,297094
116,37,182.405405405405,0.045045045045045,0.339303526374465,0.000132891888322278,30,1,"genereg",23132,297094
125,76,112.828947368421,0.0389473684210526,0.344729429648728,0.000260495866025068,34,1,"doublewell",23132,297094
134,1,49,0,0.248950642529651,0,1,2,"mutualistic",23132,297094
135,106,114.188679245283,0.0490566037735849,0.352000365224537,0.000261241883655021,34,1,"genereg",23132,297094
149,47,147.510638297872,0.0397779833487512,0.338900854174908,0.000355739814315313,33,1,"SIS",23132,297094
160,43,135.53488372093,0.0409745293466224,0.336734990974204,0.000320223949113205,31,1,"mutualistic",23132,297094
160,43,135.53488372093,0.0409745293466224,0.336734990974204,0.000320223949113205,31,1,"genereg",23132,297094
170,43,159.906976744186,0.0775193798449612,0.34185596263837,0.000167326371534141,30,1,"genereg",23132,297094
173,42,194.190476190476,0.0511033681765389,0.344909340331624,0.000220708074186669,31,1,"genereg",23132,297094
173,42,194.190476190476,0.0511033681765389,0.344909340331624,0.000220708074186669,31,1,"doublewell",23132,297094
175,51,167.803921568627,0.0580392156862745,0.347750917072584,0.000281289217168165,34,1,"mutualistic",23132,297094
178,43,110.046511627907,0.0332225913621262,0.329976176550307,0.000217148093763121,30,1,"genereg",23132,297094
182,52,156.884615384615,0.0822021116138763,0.344103777093468,0.000223484449601929,34,1,"mutualistic",23132,297094
